,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,215.60454,7432.0986,,0.7205781,9.248183,4.0214367,86.86474
1,1,50,189.67671,1771888.4,,0.49490976,7.6287813,2.2667537,58.996395
2,1,100,169.2481,1030972.5,,0.4252913,6.6457863,1.8229644,44.884438
3,1,150,152.4399,609586.44,,0.19382375,5.820757,1.3599664,34.40508
4,1,200,136.76418,412633.62,,0.15000427,5.270212,1.1343974,28.221558
5,1,250,-119.98072,23544.559,,-0.80408674,2.4645329,1.1195594,6.235003
6,1,300,-372.01102,508.95258,,-0.24788892,0.4093579,0.11060329,0.18063001
7,1,350,-393.13586,429.54306,,-0.15755188,0.21018314,0.047270127,0.03975396
8,1,400,-301.34833,339.1394,,-0.17972687,0.18638515,0.07003716,0.060297422
9,1,450,-262.47766,303.13644,,-0.13864127,0.22720551,0.048363857,0.09019299
10,1,500,-260.32028,288.06927,0,-0.14015216,0.1689061,0.041936025,0.074615434
11,2,550,-291.61362,310.38242,,-0.032568425,0.064207196,0.019262277,-0.003088206
12,2,600,-272.6488,301.85568,,-0.06545296,0.069937706,0.01741454,0.030595891
13,2,650,-281.7836,287.5936,,-0.04301852,-0.008335471,0.0023575798,0.0016840696
14,2,700,-269.78406,280.19882,,-0.0360215,0.017231107,0.026869766,0.002254963
15,2,750,-267.57578,282.56537,,-0.09501475,-0.03954315,0.008986756,0.029527739
16,2,800,-252.10541,263.149,,-0.039826393,0.020675182,0.001074262,0.011419162
17,2,850,-242.27211,260.9799,,-0.007578939,0.07275975,0.015454233,0.022302426
18,2,900,-240.94629,253.76851,,-0.0034722388,0.056174636,0.0010944381,0.014835693
19,2,950,-235.35858,250.51909,,0.01571542,0.07233095,-0.004484426,0.029001951
20,2,1000,-231.88686,243.9142,0,0.0013599992,0.051358342,0.0014556348,0.024833813
21,3,1050,-254.18004,241.52922,,-0.010430753,-0.07325792,0.002088569,-0.008321915
22,3,1100,-242.68585,240.3523,,0.07249498,0.021737099,0.00025770813,0.00065191835
23,3,1150,-230.97063,230.9321,,0.0056459904,0.0048058033,-0.0049453154,-0.0014034398
24,3,1200,-241.19757,232.15343,,-0.011116385,-0.055265665,-0.005966712,0.0023671463
25,3,1250,-226.12486,232.48967,,-0.029110879,-0.00580287,0.0044016615,0.026300065
26,3,1300,-228.93925,223.81299,,-0.0049788356,-0.022760272,-0.010524318,-0.0070267916
27,3,1350,-232.60562,225.8367,,0.011016369,-0.026704311,-0.009552941,0.0058010146
28,3,1400,-239.85556,223.37115,,0.028403759,-0.06601322,-0.0058828704,-0.0035433955
29,3,1450,-223.1725,224.80907,,-0.052159816,-0.03298831,-0.011860203,0.0020226762
30,3,1500,-226.41763,222.30269,1,-0.03413868,-0.044646263,-0.003440071,-0.004687201
