,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,21.59409,-21.448814,,-0.10509208,-0.26544476,0.19524083,0.1601598
1,1,50,23.0852,48.012985,,-0.09147805,-0.1545837,0.291531,0.15792942
2,1,100,22.732664,52.9037,,-0.13499203,-0.191051,0.26869148,0.15605856
3,1,150,22.685825,47.898655,,-0.095724225,-0.14183688,0.30022895,0.14748126
4,1,200,22.929409,21.543655,,-0.007934868,-0.072128296,0.2520241,0.14200184
5,1,250,22.548506,60.101418,,-0.12119731,-0.13791645,0.32118884,0.16860563
6,1,300,22.089128,40.023003,,-0.018544376,-0.12238431,0.30131704,0.13457525
7,1,350,21.509443,40.47596,,-0.025473833,-0.19791758,0.24698117,0.15215395
8,1,400,21.694265,23.071062,,-0.01905194,-0.14420521,0.22988093,0.12460856
9,1,450,21.026606,47.97779,,0.00837338,-0.104937315,0.32915756,0.13631628
10,1,500,19.033348,51.75563,0,0.07786417,-0.1263144,0.3063361,0.16036831
11,2,550,9.673897,193.99911,,0.017707229,-0.11269796,0.18674538,0.09827401
12,2,600,-11.15567,36.472748,,-0.064533144,-0.0045483112,0.038108036,0.03073655
13,2,650,-12.504865,20.514858,,-0.038448334,0.023249984,0.025377966,0.004937671
14,2,700,-11.646374,9.746398,,-0.03678283,0.028778076,0.0036681294,-0.0061728805
15,2,750,-10.174685,10.951044,,-0.021614194,-0.02019298,0.0016857833,-0.019458909
16,2,800,-9.904049,7.3627534,,-0.048222154,-0.014495373,-0.015334055,-0.010483127
17,2,850,-10.225515,1.5712719,,-0.040227473,0.042683005,-0.02185379,-0.008919071
18,2,900,-8.558704,4.1129584,,-0.007450968,0.014615655,-0.0035726316,-0.010715514
19,2,950,-7.809298,1.7302811,,0.006588459,0.03515804,-0.010228433,-0.013363816
20,2,1000,-6.935253,-1.1596956,0,-0.034022063,0.025125623,-0.015804552,-0.01087762
21,3,1050,-5.3731017,1.258881,,0.018623173,0.014893174,-0.012325507,-0.011651091
22,3,1100,-4.436431,2.7869716,,0.02105081,0.03132677,-0.007618364,-0.00709147
23,3,1150,-4.395334,0.39678168,,-0.013881296,0.019450545,-0.021512963,-0.012409855
24,3,1200,-4.9488487,11.273155,,0.044556677,0.06696439,-0.012064014,0.0028547645
25,3,1250,-2.6007166,3.5957603,,-0.014514476,-0.029018879,-0.009958636,-0.004464399
26,3,1300,-3.4109254,1.7772528,,-0.020525336,-0.0006004572,-0.016483132,-0.0019804202
27,3,1350,-3.8005567,-0.33356285,,-0.009200692,0.005282402,-0.01748981,-0.012058083
28,3,1400,-2.99358,-1.1026986,,0.013105333,0.022859693,-0.019800086,-0.00088755786
29,3,1450,-2.6852186,-2.1326199,,0.009838402,0.014789939,-0.018431064,-0.0066960305
30,3,1500,-2.6843808,6.214405,0,0.062030494,0.031794906,-0.005915843,-0.0035219863
31,4,1550,-1.8029649,48.633995,,-0.06428841,-0.06513035,-0.011139102,0.0008537173
32,4,1600,-5.4140053,12.232399,,-0.041725874,-0.024940848,-0.009155478,-0.008489836
33,4,1650,-0.760473,2.4635708,,-0.027693748,-0.0021576881,0.004253529,-0.00072374195
34,4,1700,-2.2084823,14.575296,,-0.037100494,-0.041743636,-0.005727347,-0.0049966946
35,4,1750,-0.7496792,1.5112872,,-0.0065481663,-0.020070791,0.002098322,-0.00021584332
36,4,1800,-1.0907655,22.59447,,-0.04600787,-0.03552258,0.01640603,0.0067541897
37,4,1850,-2.361132,29.079363,,-0.06740627,-0.03185475,-0.0158046,-0.003239099
38,4,1900,-1.5435339,11.32348,,-0.048784077,-0.021413922,-0.007518392,-0.0043354183
39,4,1950,-0.87231225,9.52239,,-0.036357373,0.021665692,-0.003773149,-0.009426665
40,4,2000,-1.396164,3.506877,1,-0.02072063,-0.021989107,0.0015505999,0.0044287816
