,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,4.643319,-0.46368027,,-0.34466496,-1.2558733,0.11186053,1.5719779
1,1,50,1.6309247,416.52606,,0.34116668,-0.5240738,0.38738117,0.5433247
2,1,100,1.2358098,398.73557,,0.3526383,-0.5135691,0.38454282,0.5137729
3,1,150,0.8107048,312.55948,,0.3324026,-0.5067315,0.27853784,0.4264841
4,1,200,-1.2574378,254.9599,,0.30324912,-0.44856417,0.25911486,0.3835291
5,1,250,-14.59527,109.88052,,0.07218599,-0.29533625,0.13687877,0.28178075
6,1,300,-20.798681,59.126556,,-0.042666525,-0.09991443,0.122450784,0.22328958
7,1,350,-13.347725,34.176186,,0.047179043,-0.10745168,0.07079834,0.15123753
8,1,400,-18.761951,27.729633,,-0.06016183,0.010321856,0.033387005,0.11443201
9,1,450,-13.665195,17.62229,,0.008693516,-0.019386888,0.02733279,0.08194925
10,1,500,-11.141999,12.606441,0,0.00547719,-0.022958636,0.009367205,0.047791623
11,2,550,-11.771053,13.604113,,-0.021472543,0.017929792,0.0048696846,0.030382358
12,2,600,-10.317798,10.628511,,-0.0022771358,0.051528573,0.0044877604,0.0025260523
13,2,650,-9.178951,9.590373,,-0.028924584,-0.007980466,-0.0051769316,-0.00059884414
14,2,700,-8.482075,9.137998,,-0.02208656,-0.006235361,-0.009476051,0.00799866
15,2,750,-8.752106,8.286429,,-0.0047656894,0.04257083,0.0010228232,-0.009004597
16,2,800,-7.250824,7.496291,,-0.023638576,-0.016641855,0.0004471764,-0.0100363605
17,2,850,-7.6608815,8.943484,,-0.0709154,0.012023568,0.0039289743,-0.017533332
18,2,900,-6.9992023,8.027502,,0.043621123,-0.0022236109,0.021490067,-0.016350877
19,2,950,-6.6910357,6.6669726,,0.031483352,-0.0039622784,0.0102971345,-0.027710456
20,2,1000,-7.041875,6.263425,0,0.00037664175,0.03439343,0.017951526,-0.026328918
21,3,1050,-6.4519334,7.1714544,,0.010777056,-0.012758613,-0.0036925562,-0.019070763
22,3,1100,-6.3086944,8.315711,,0.014616966,-0.031308293,-0.0031473301,-0.008147355
23,3,1150,-6.760537,13.937835,,0.057731986,0.007887602,-0.0014549978,-0.010457516
24,3,1200,-6.4035325,8.267398,,0.023227215,-0.017694116,0.00556916,0.00048507005
25,3,1250,-7.116097,12.669739,,-0.05418071,-0.0025055408,0.0022793487,-0.0059669875
26,3,1300,-7.181503,9.466247,,0.013778329,0.02601552,0.004834175,-0.0002624467
27,3,1350,-7.490177,12.136954,,-0.033210993,0.033803225,-0.0020686276,-0.01123656
28,3,1400,-6.4561467,8.157593,,0.023417056,-0.019170403,-0.00063475966,-0.001762487
29,3,1450,-6.669156,6.751569,,0.005615592,-0.0078520775,-0.0028891228,0.0006659478
30,3,1500,-6.9193587,6.986919,1,-0.0027353764,0.007739663,-0.0071507394,-0.007707268
