,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,4.535204,-0.1473751,,-0.34075147,-1.2723272,0.12053342,1.6243068
1,1,50,1.6694,519.2737,,0.36020982,-0.5348182,0.48270196,0.6269796
2,1,100,-1.4231529,314.9822,,0.41239047,-0.44294107,0.34747705,0.37431958
3,1,150,-7.0604076,147.13998,,0.24089539,-0.27848148,0.27892885,0.2584092
4,1,200,-15.542868,46.330864,,0.0108940005,-0.070307136,0.069067255,0.22747293
5,1,250,-10.663383,30.87666,,0.03579241,-0.10410249,0.04142239,0.1630715
6,1,300,-11.411047,17.304152,,-0.0018626153,-0.03384626,0.020790167,0.1010195
7,1,350,-10.841015,14.453262,,0.046825826,-0.029687166,0.030431181,0.056784257
8,1,400,-9.615133,11.446999,,0.02250117,-0.020848751,0.03954023,0.034048893
9,1,450,-9.003535,12.836732,,0.013562441,-0.076497555,-0.005421497,0.040014803
10,1,500,-9.192544,9.606336,1,-0.012664437,-0.00792706,0.016404435,0.018309869
