,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,107.87334,186.64278,,0.22318459,4.002966,1.6005849,16.609657
1,1,50,95.326164,70134.88,,0.35997927,3.2873769,1.2136275,11.315967
2,1,100,85.6763,32963.0,,0.03505355,2.6948943,0.8661453,7.6212506
3,1,150,77.34973,21577.15,,0.15349698,2.4129076,0.7578787,6.073626
4,1,200,36.1859,4236.044,,-0.23280087,1.5179284,0.40902385,2.453336
5,1,250,-31.30372,1197.8204,,-0.38115487,0.96033025,0.43725753,1.0364971
6,1,300,-71.5224,689.0388,,-0.2497074,0.780612,0.2666618,0.70158064
7,1,350,-124.4391,394.95758,,-0.16926324,0.5783553,0.18179452,0.3805821
8,1,400,-118.49582,143.30388,,-0.18065903,0.09741688,0.08544971,0.013665207
9,1,450,-107.09521,129.794,,-0.17980435,0.07262635,0.08825116,0.002266176
10,1,500,-100.64771,113.729416,0,-0.11105916,0.091001034,0.07350093,0.012070723
11,2,550,-67.58135,83.506615,,-0.0313482,0.06254792,0.04462476,0.0021814331
12,2,600,-42.892338,52.994797,,0.006299913,0.059944034,0.038215034,-0.0007144697
13,2,650,-44.560936,50.072906,,-0.016924948,-0.011839151,0.046832524,-0.004280731
14,2,700,-44.12849,44.83619,,0.014951646,-0.014332294,0.038087912,-0.008607674
15,2,750,-42.07833,42.1094,,0.0113011,-0.008124709,0.023352213,-0.01705768
16,2,800,-46.72956,43.859833,,0.021540046,-0.046854496,0.028424062,-0.020595387
17,2,850,-42.288692,42.196842,,0.008065641,-0.019176602,0.02754853,-0.010552939
18,2,900,-42.873306,42.293705,,0.006337106,-0.025212884,0.02500347,-0.014581971
19,2,950,-45.300602,43.297745,,0.0024760365,-0.06829023,0.02575346,-0.012504611
20,2,1000,-39.794106,42.135693,0,0.049604654,0.023436904,0.04469896,-0.010433339
21,3,1050,-41.552177,42.0986,,-0.0195736,-0.04980755,0.02715826,-0.009871513
22,3,1100,-44.828182,45.625435,,-0.0118537545,-0.0369606,0.026539147,-0.012355365
23,3,1150,-38.54903,44.520798,,-0.0004132092,0.0041137934,0.03962279,-0.0017051734
24,3,1200,-37.96986,45.487274,,-0.064232945,-0.032250404,0.03435772,-0.009085208
25,3,1250,-42.064972,43.258747,,-0.022946388,-0.039790034,0.024769723,-0.011537537
26,3,1300,-36.40274,40.700253,,-0.016599417,0.0036709309,0.02022335,-0.017080955
27,3,1350,-42.602516,39.663887,,0.0050851703,-0.05125904,0.014076084,-0.019053686
28,3,1400,-40.753983,40.8604,,-0.012534916,-0.03369534,0.018786505,-0.01896828
29,3,1450,-41.87388,38.73343,,-0.009511769,-0.048306584,0.004182942,-0.015000254
30,3,1500,-43.42922,39.9851,0,0.00383842,-0.06427288,0.015964039,-0.012694139
31,4,1550,-36.78599,57.823845,,0.02451098,0.07860744,0.026497051,0.003997132
32,4,1600,-39.780197,45.864864,,0.030872524,0.016990662,0.022252887,-0.014071204
33,4,1650,-44.003178,60.093384,,-0.03603971,-0.07919192,0.014458291,-0.013100516
34,4,1700,-38.699577,48.00697,,-0.010225028,0.017108202,0.032791115,-0.013528921
35,4,1750,-36.819767,45.208908,,-0.023879647,0.020965934,0.021602698,-0.005158607
36,4,1800,-40.886276,44.08551,,-0.012688041,-0.01844883,0.014361821,-0.0030199476
37,4,1850,-38.457916,50.85915,,0.025204122,0.023275495,0.04580041,0.0046279877
38,4,1900,-40.727493,48.029064,,-0.0030406117,-0.026037097,0.03424429,-0.005414281
39,4,1950,-38.95963,50.986492,,-0.024016261,0.003356576,0.0423598,-0.0018229149
40,4,2000,-36.033104,52.161633,0,-0.03861785,0.031153083,0.035836868,-0.0025140196
41,5,2050,-55.22799,98.89853,,-0.038007498,-0.008278847,0.040221736,-0.009056788
42,5,2100,-73.39762,87.7918,,0.016516745,0.0044025183,0.028155677,-0.007685352
43,5,2150,-62.514786,90.769356,,0.05158007,0.026273012,0.018357947,-0.00022998825
44,5,2200,-63.15798,82.16267,,-0.008316129,-0.029729724,0.028767012,-0.003964085
45,5,2250,-56.748367,76.573265,,-0.012240499,-0.05584824,0.0027179942,-0.0009041354
46,5,2300,-51.361103,59.17145,,-0.0073660016,-0.00044834614,0.005108379,-0.021806005
47,5,2350,-55.677616,72.81943,,0.0041611195,-0.038547397,0.026176952,0.0019791275
48,5,2400,-52.845684,80.79784,,-0.0017502308,-0.05900371,0.022051916,-0.0003172271
49,5,2450,-52.69364,81.84147,,-0.020550996,-0.05074036,0.016069323,-0.018588949
50,5,2500,-45.274708,69.80012,0,-0.010312676,0.02714467,0.023192473,-0.0026031286
51,6,2550,-61.998077,82.27725,,0.010571539,-0.00902164,0.018806897,0.0026973933
52,6,2600,-65.117615,132.146,,0.019265652,0.029177666,0.014660336,-0.004736442
53,6,2650,-71.96145,189.40805,,-0.04752627,-0.028803349,0.015647754,-0.0020150244
54,6,2700,-81.85006,182.93488,,0.021066666,-0.065035224,-0.0019572936,-0.001927495
55,6,2750,-77.94354,244.2762,,-0.029328883,-0.070654035,0.009774774,-0.0062470473
56,6,2800,-72.52408,149.8148,,-0.041707814,-0.016137362,0.0062993392,0.009021431
57,6,2850,-70.94314,74.78217,,-0.0060300827,-0.0018070936,0.00089966506,0.0060400516
58,6,2900,-68.96523,87.12872,,-0.0019109845,-0.00010788441,0.014983736,0.005009562
59,6,2950,-68.315285,71.32299,,0.005527556,-0.005923152,0.0066157877,0.006396726
60,6,3000,-71.50429,185.46938,1,-0.023726046,-0.06176579,-0.0053224377,-0.011670452
