,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,107.98133,187.77075,,0.31366765,4.0049176,1.5851511,16.64637
1,1,50,95.51942,62254.766,,0.10110569,3.191337,1.0866294,10.645419
2,1,100,85.38736,35377.598,,0.18565023,2.7510996,0.8762017,7.9091864
3,1,150,77.5818,20295.436,,0.0645836,2.3777757,0.6847957,5.8838
4,1,200,70.211945,15185.928,,0.09323865,2.1766136,0.645837,5.0347624
5,1,250,-48.64518,171.48526,,-0.38568264,0.18843293,0.23514235,0.078295216
6,1,300,-59.90491,71.54063,,-0.12394795,0.058758378,0.06625904,0.008095168
7,1,350,-42.09957,45.933197,,-0.06558421,0.041331768,0.040043496,0.007359989
8,1,400,-31.953575,40.23387,,-0.026997656,0.10484469,0.059311092,0.036352523
9,1,450,-29.308916,40.5645,,-0.0876897,0.0966506,0.071905434,0.017605312
10,1,500,-29.706776,38.34734,0,-0.045989484,0.09942174,0.06189639,0.038082168
11,2,550,-34.085663,55.54545,,-0.0688878,0.065766335,0.06920524,0.01220876
12,2,600,-39.258698,45.982544,,-0.029573172,0.014070153,0.035758093,0.012930587
13,2,650,-37.02772,46.2924,,-0.07177204,-0.010216355,0.04849138,0.004340172
14,2,700,-39.42256,42.19266,,-0.020120889,-0.010190845,0.034964792,-0.004818
15,2,750,-38.176537,41.32847,,-0.017357826,-0.0068366528,0.037630722,-0.004999481
16,2,800,-41.93323,44.319218,,-0.023822755,-0.025007486,0.037147067,0.004722759
17,2,850,-40.66145,40.70712,,0.00880754,-0.014722347,0.027147904,-0.008298051
18,2,900,-39.686634,41.035866,,0.00175488,-0.009575963,0.027570829,0.0060340613
19,2,950,-40.43551,45.778675,,0.05022478,0.033456564,0.035022065,-0.008087281
20,2,1000,-37.887646,39.600754,0,-0.03744325,-0.030549884,0.02680704,-0.004396986
21,3,1050,-38.024868,42.429836,,-0.009216964,0.011384606,0.029248744,-0.009612437
22,3,1100,-39.012848,41.83536,,0.005959213,0.011350751,0.027119406,-0.01133275
23,3,1150,-39.64481,45.03535,,-0.04798186,-0.035827637,0.024080276,-0.013522219
24,3,1200,-39.614437,44.32942,,-0.0114738345,-0.004664898,0.039514408,-0.009858776
25,3,1250,-39.059883,40.116947,,0.034973145,0.01657331,0.023018874,-0.0074099265
26,3,1300,-37.90859,42.550278,,-0.035861313,-0.02008748,0.02563592,-0.016185135
27,3,1350,-41.29168,40.418945,,0.041133642,0.0030981302,0.020113535,-0.021362461
28,3,1400,-38.8342,47.421997,,-0.03734684,-0.02496767,0.054760635,-0.0056545623
29,3,1450,-37.509224,42.07286,,0.037978172,0.03335631,0.03675846,0.0060289204
30,3,1500,-38.01194,40.15958,0,0.008969605,-0.008705139,0.03453561,-0.008190699
31,4,1550,-41.064137,45.166595,,0.01840818,-0.021340132,0.028944194,-0.008282665
32,4,1600,-40.338596,46.10613,,-0.030746639,-0.029065251,0.01130531,-0.01265385
33,4,1650,-39.289383,48.73087,,-0.0383496,-0.013750911,0.02424264,-0.0039406456
34,4,1700,-38.84621,47.76911,,0.030688345,0.03494692,0.026673518,0.0022970587
35,4,1750,-39.034245,45.5064,,0.02293861,0.039191127,0.011851199,-0.010720957
36,4,1800,-39.613983,47.910416,,0.021976054,0.025434256,0.032583296,0.00015375763
37,4,1850,-41.154804,43.91373,,-0.0073694587,-0.033980608,0.012162894,-0.014219806
38,4,1900,-41.060738,43.102978,,0.0077825785,8.428097e-05,0.014040612,-0.021409437
39,4,1950,-40.693634,41.92723,,0.01858157,0.003270626,0.011713803,-0.012362417
40,4,2000,-37.47246,42.09894,0,-0.013143122,0.0004812479,0.020196766,-0.011338323
41,5,2050,-55.769688,94.69562,,0.048449695,0.0043183565,0.045462854,-0.0020416528
42,5,2100,-52.937088,61.336502,,0.026648879,-0.02490282,0.008236907,-0.0064848475
43,5,2150,-44.915424,75.70324,,-0.04281348,-0.012322187,0.024760269,-0.0047947355
44,5,2200,-51.715134,95.13266,,-0.029046863,-0.06648755,0.006515458,-0.0020134896
45,5,2250,-46.78547,53.403194,,0.015303552,0.0025680065,0.018432118,0.0023464337
46,5,2300,-45.09891,52.350887,,-0.010137945,0.015170574,0.007872701,-0.004557401
47,5,2350,-48.104664,67.00962,,-0.014774084,-0.040985703,0.013794072,-0.0015859902
48,5,2400,-45.974377,53.263134,,-0.01463595,-0.0070849657,0.001705505,-0.019359842
49,5,2450,-44.086502,60.54633,,-0.021498919,0.017683506,0.014310747,-0.014111344
50,5,2500,-47.44747,67.89288,1,-0.03489223,-0.025300622,0.009375356,0.0051049516
