,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,54.17841,-47.6111,,0.0016627908,1.3552325,0.7002193,2.0592098
1,1,50,47.843296,1228.1891,,-0.011125684,0.9856231,0.4691906,1.1663396
2,1,100,41.419384,521.67084,,0.01319021,0.71951437,0.38237286,0.6797768
3,1,150,22.635492,54.47297,,-0.10984394,0.26345587,0.23040858,0.14019313
4,1,200,14.782184,20.165684,,-0.150754,0.10601461,0.18085091,0.05676987
5,1,250,10.896885,16.417566,,-0.12483281,0.08972919,0.16525568,0.060703404
6,1,300,9.880487,14.693935,,-0.096010774,0.07836032,0.17172468,0.06558259
7,1,350,10.974135,6.680564,,-0.071982145,0.080117464,0.14361906,0.055522308
8,1,400,9.167154,16.108053,,-0.068054706,0.116775036,0.1638321,0.07376723
9,1,450,9.263123,9.055906,,-0.09533,0.10219669,0.11475514,0.06274828
10,1,500,9.554482,3.1294937,0,-0.09452599,0.0427891,0.11534375,0.03602361
11,2,550,3.401012,34.291386,,-0.04945895,0.05656612,0.13331443,0.055183478
12,2,600,1.6519545,37.798557,,-0.040883332,0.08281481,0.13568775,0.048475705
13,2,650,-2.9461994,30.596647,,-0.06834257,-0.056827426,0.10520117,0.036815554
14,2,700,-0.43203026,14.982033,,0.044823408,0.0076779127,0.09397073,0.039063923
15,2,750,-0.83260584,11.5474205,,0.023229599,-0.037526846,0.07927348,0.025708444
16,2,800,2.185155,16.322786,,0.0151126385,-0.01223135,0.10514647,0.044770204
17,2,850,2.5787888,11.35869,,0.0042371154,0.0039720535,0.08327839,0.022742607
18,2,900,1.851775,15.062027,,0.032600164,-0.009650469,0.107946694,0.030338705
19,2,950,3.6544695,16.979038,,0.019405544,-0.020143032,0.11872429,0.039416388
20,2,1000,3.5339057,10.7302885,0,0.09620178,0.0130906105,0.10049339,0.028670445
21,3,1050,4.1642995,40.41122,,0.04231459,0.0042157173,0.094613895,0.02158121
22,3,1100,4.4719934,34.55175,,-0.0031679869,-0.009012103,0.0951352,0.008708075
23,3,1150,6.7431273,50.173306,,0.041841447,0.036334038,0.10333042,0.03645973
24,3,1200,2.2089138,30.515257,,0.01057893,-0.029378176,0.08298889,0.008674771
25,3,1250,1.4136215,21.00569,,0.017387629,-0.029563427,0.062241256,0.006528482
26,3,1300,2.1058755,35.031967,,-0.07329562,-0.0679692,0.05986142,0.011310235
27,3,1350,3.4157708,21.918596,,0.040507257,0.03367269,0.054052755,0.0044258013
28,3,1400,0.7630141,23.101562,,-0.03407994,-0.04428494,0.05828838,0.009306066
29,3,1450,-0.43903744,25.336216,,-0.027509272,-0.073865056,0.049738407,0.011076957
30,3,1500,0.15473613,26.260983,0,-0.0120560825,0.006139517,0.06927355,0.012985319
31,4,1550,-18.341421,68.73549,,0.055701315,0.04538405,0.013709813,-0.0022776984
32,4,1600,-17.86657,62.410652,,0.034970045,0.020644069,0.037047386,0.010394685
33,4,1650,-19.181679,48.261112,,-0.050311387,-0.016938448,0.010216825,-0.0036038198
34,4,1700,-19.592962,66.68938,,0.050273716,0.047918558,0.010104053,0.006944172
35,4,1750,-16.398762,58.793556,,-0.043399036,-0.053606868,0.011953451,-0.005745381
36,4,1800,-17.731598,18.508709,,0.012913644,0.003678441,-0.0013242997,-0.016669668
37,4,1850,-16.830873,30.665327,,0.037338614,0.016041517,0.002791442,-0.0046218
38,4,1900,-18.999094,49.289223,,-0.05424729,-0.034529567,-0.0047645792,-0.0046886504
39,4,1950,-17.088554,25.480139,,0.016756535,-0.013317704,0.0118940845,-0.00829469
40,4,2000,-20.41532,20.640894,0,0.016061366,-0.0063853264,-0.0013518631,-0.0026288927
41,5,2050,-11.437763,202.704,,-0.047187954,-0.051607847,0.029878445,0.0043888018
42,5,2100,-25.150166,184.0397,,0.034700155,0.053912163,0.017503329,0.008849338
43,5,2150,-21.250847,59.7041,,-0.016935438,-0.030800343,0.00068600476,-0.008052353
44,5,2200,-26.067528,82.08579,,0.028110743,0.022275805,0.008772522,0.008301064
45,5,2250,-20.848503,87.32203,,-0.02105537,-0.038811922,0.009610862,-0.0038393214
46,5,2300,-21.922592,86.28315,,-0.019222438,-0.03268218,0.018927313,0.0053314865
47,5,2350,-27.069736,48.845123,,-0.022246927,-0.0028458834,0.011836864,0.0017896965
48,5,2400,-23.391596,29.17332,,-0.009166807,-0.0025600195,0.0038163066,-0.010066003
49,5,2450,-19.94466,135.46454,,0.04549724,0.026889205,0.016879573,-0.0031315833
50,5,2500,-23.705517,576.3301,0,0.09092641,0.08586395,0.016925357,0.022398815
51,6,2550,-27.18078,-56.18753,,-0.039886206,-0.026244521,0.0056381,-0.00373571
52,6,2600,-27.898653,53.655518,,-0.038385093,-0.04848373,0.008904226,0.00439997
53,6,2650,-32.098755,279.01105,,0.02583319,-0.017439127,0.015339568,0.004080884
54,6,2700,-32.867554,583.914,,-0.07182178,-0.076683044,-0.006087605,-0.006547276
55,6,2750,-34.700226,138.09167,,-0.050118178,-0.053563118,-0.00018538162,0.0048437044
56,6,2800,-33.823685,-99.497475,,-0.021825373,-0.017236471,-0.0020176135,-0.008198481
57,6,2850,-35.407654,-44.162994,,-0.0075999796,-0.00890851,0.00077430904,-0.008103527
58,6,2900,-30.587225,91.67457,,-0.00421077,0.010444164,0.006281987,-0.0012950003
59,6,2950,-31.33305,-80.955505,,-0.027019233,-0.030763745,0.004158333,-0.00465158
60,6,3000,-32.070534,-37.985146,1,-0.02709353,0.00017535686,-0.002897691,0.001101926
