,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,540.8017,350837.4,,1.432971,24.276342,9.010915,592.20404
1,1,50,477.70477,90066550.0,,1.0167339,20.538624,7.296544,423.86078
2,1,100,419.95322,52744510.0,,1.0982122,17.96526,5.12502,324.25244
3,1,150,374.96368,35202964.0,,0.975891,16.23093,4.1076417,264.81204
4,1,200,335.35663,23971940.0,,0.75335896,14.73712,4.022391,218.42761
5,1,250,303.71265,17801296.0,,0.7190821,13.688325,3.0079105,188.16553
6,1,300,272.73895,13480405.0,,0.48432624,12.759622,2.488815,163.68298
7,1,350,246.46901,11022169.0,,0.65017295,12.1252,2.392641,147.95831
8,1,400,-380.35587,1398997.4,,-0.98518467,7.209897,2.1859245,52.340256
9,1,450,-795.30524,1110490.9,,-2.092783,6.7690697,5.658642,46.22955
10,1,500,-940.59906,959637.56,0,-2.320317,6.5102806,6.609862,42.730972
11,2,550,-1110.6893,2798700.2,,-2.3601456,6.440102,6.999812,41.754116
12,2,600,-1307.0487,2545742.5,,-2.768896,6.169072,8.929551,38.374672
13,2,650,-1432.396,2423286.5,,-2.7599251,6.03736,8.844341,36.886974
14,2,700,-1545.1836,2252311.0,,-2.8592272,5.8665724,9.122519,34.673187
15,2,750,-1668.5253,2102400.0,,-2.9253483,5.6848187,9.573044,32.639664
16,2,800,-1791.2122,1913701.2,,-2.967978,5.455504,9.826764,30.069475
17,2,850,-1965.7013,1695146.0,,-2.9830866,5.1670437,9.930741,27.02343
18,2,900,-2089.0183,1580689.8,,-2.9406974,5.021521,9.49577,25.49324
19,2,950,-2260.3552,1435221.6,,-2.9529934,4.803689,9.517407,23.35544
20,2,1000,-2535.1274,1241546.1,0,-3.0021281,4.4790154,9.861051,20.316881
21,3,1050,-3297.9858,1647825.8,,-2.426422,3.8125362,6.3302684,14.744916
22,3,1100,-4979.655,496823.1,,-1.6076455,2.2427716,2.762567,5.208548
23,3,1150,-6307.0005,128522.734,,-0.9796597,1.0572219,1.0356959,1.2513156
24,3,1200,-6981.07,51148.312,,-0.6340394,0.575387,0.42152733,0.40256608
25,3,1250,-7551.0337,24599.998,,-0.42524314,0.2855147,0.18992224,0.12516932
26,3,1300,-7779.9287,18320.418,,-0.35152894,0.1731435,0.11599444,0.07156439
27,3,1350,-7948.3574,12973.287,,-0.2526786,0.100741744,0.047744036,0.025896236
28,3,1400,-8115.006,11483.432,,-0.18183434,0.05403173,0.019651279,0.022355057
29,3,1450,-8198.398,9980.728,,-0.14541098,0.014783382,0.0035371557,0.011810668
30,3,1500,-8295.746,8318.374,0,-0.10310134,-0.01213038,-0.00921873,-0.0041672625
31,4,1550,-8322.023,8735.152,,-0.073364496,0.004224658,-0.011727616,0.002027914
32,4,1600,-8330.95,8830.735,,-0.03373596,0.019496322,-0.012362465,0.004645139
33,4,1650,-8490.231,7850.474,,-0.017493427,-0.03422773,-0.01785931,-0.0012009442
34,4,1700,-4943.049,4468.3877,,0.1426962,-0.018065453,0.0070621073,0.0060877874
35,4,1750,-4215.926,1581.2115,,0.053233266,-0.064698935,-0.022114176,-0.020211939
36,4,1800,-4133.4795,709.9966,,0.121697366,-0.06027341,-0.012032628,-0.03026108
37,4,1850,-4011.536,459.8006,,0.114733756,-0.054675102,-0.018236838,-0.03222071
38,4,1900,-4072.6404,338.6358,,0.08821577,-0.06984973,-0.020601626,-0.034170844
39,4,1950,-4066.279,445.91,,0.14382952,-0.046684742,-0.011646107,-0.033978127
40,4,2000,-4090.603,10.762348,0,0.12133461,-0.086690664,-0.017164525,-0.034918625
41,5,2050,-4086.03,461.99878,,0.07634598,-0.0625819,-0.025445674,-0.035570692
42,5,2100,-4063.1855,-68.81449,,0.060397506,-0.07116103,-0.030819066,-0.042106993
43,5,2150,-4095.0935,559.10535,,0.038874745,-0.09397924,-0.03809549,-0.028841123
