,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,8.746653,-8.61011,,-0.23942137,0.2656682,0.061589107,0.06961848
1,1,100,8.747084,-2.1150923,,-0.23472983,0.26403958,0.057004765,0.06764092
2,1,200,8.659457,-1.7704186,,-0.22879732,0.2750584,0.056716636,0.08098564
3,1,300,8.846248,-2.1871,,-0.23882031,0.2615226,0.059389777,0.0650123
4,1,400,8.836608,-2.279726,,-0.22553313,0.26714647,0.056787394,0.07536855
5,1,500,8.65945,-1.9940529,,-0.23421103,0.2654534,0.0551448,0.07033254
6,1,600,8.75883,-2.2749906,,-0.21942645,0.26992166,0.056594536,0.07394711
7,1,700,8.804802,-1.8941917,,-0.22451812,0.27758086,0.06130947,0.08362908
8,1,800,8.722795,-2.3814392,,-0.2166692,0.267676,0.05499983,0.07215367
9,1,900,8.610776,-1.7480974,,-0.21101594,0.28555578,0.055075027,0.090279974
10,1,1000,8.638415,-2.219676,,-0.21902126,0.2674548,0.05698116,0.07500367
11,1,1100,8.607133,-2.181776,,-0.20277059,0.27775013,0.055440508,0.0846902
12,1,1200,8.616193,-2.2343192,,-0.22882664,0.26066208,0.055939272,0.064822234
13,1,1300,8.652373,-1.963522,,-0.23347855,0.26577812,0.057204284,0.073174156
14,1,1400,8.805767,-2.8029351,,-0.22060215,0.25435877,0.052699164,0.062575854
15,1,1500,8.755442,-2.6128364,,-0.21295702,0.2638269,0.05433912,0.07031389
16,1,1600,8.811936,-2.390511,,-0.20942843,0.27483177,0.053962447,0.078254685
17,1,1700,8.634658,-1.9735246,,-0.21098274,0.28108615,0.05514933,0.081597
18,1,1800,8.615866,-2.3519502,,-0.20547652,0.27221423,0.052730434,0.07859152
19,1,1900,8.645099,-2.1750526,,-0.21479857,0.27225733,0.054985307,0.07819892
20,1,2000,8.6645775,-2.0851889,0,-0.23499072,0.26235056,0.05573643,0.066578984
21,2,2100,8.540723,17.178387,,-0.24311715,0.24950802,0.055665053,0.056982666
22,2,2200,8.533453,17.66367,,-0.23531365,0.2600506,0.05730319,0.067120224
23,2,2300,8.401352,17.608381,,-0.2172581,0.2723968,0.052052476,0.074769005
24,2,2400,8.090625,17.751303,,-0.22057545,0.26750118,0.054443337,0.07304134
25,2,2500,7.810481,19.332073,,-0.23762053,0.26830268,0.05661606,0.07392503
26,2,2600,7.9520307,18.483192,,-0.24066275,0.25858915,0.05799684,0.06511184
27,2,2700,7.7551227,17.420063,,-0.21518761,0.2646368,0.0533268,0.070204504
28,2,2800,7.63972,17.714872,,-0.2422688,0.24565542,0.056393333,0.05565559
29,2,2900,7.8905883,17.352636,,-0.2179851,0.26299763,0.055107005,0.069301404
30,2,3000,7.112158,18.660816,,-0.24413443,0.248101,0.060991816,0.056732632
31,2,3100,7.295811,19.077938,,-0.23286968,0.26413584,0.05495447,0.07038452
32,2,3200,8.057777,18.438261,,-0.24936086,0.2524897,0.05717901,0.060742445
33,2,3300,7.686561,18.534122,,-0.23687673,0.25957417,0.055904537,0.06581243
34,2,3400,7.919204,18.577349,,-0.2368164,0.2621203,0.0577941,0.06822993
35,2,3500,7.990656,17.591808,,-0.22433847,0.26252097,0.05361805,0.06787605
36,2,3600,8.09747,17.457472,,-0.24218374,0.24810478,0.056225464,0.05699999
37,2,3700,7.7625685,17.566921,,-0.24353057,0.24431285,0.05602847,0.055153385
38,2,3800,7.4934154,17.93272,,-0.23153472,0.25494677,0.056353457,0.062380634
39,2,3900,7.718391,17.539976,,-0.23356241,0.25048274,0.057710394,0.06290051
40,2,4000,8.003738,18.874537,0,-0.24972975,0.25593978,0.0595664,0.06326372
41,3,4100,5.503526,59.03743,,-0.24047136,0.24951991,0.057480782,0.05997709
42,3,4200,5.4514074,59.233215,,-0.2357747,0.25456315,0.055601195,0.06254326
43,3,4300,6.099682,59.605225,,-0.24252832,0.25362897,0.05716768,0.06215366
44,3,4400,7.080664,58.517708,,-0.24544668,0.2508592,0.05795774,0.058849096
45,3,4500,5.1276045,61.628757,,-0.23819143,0.26234055,0.055960998,0.06793156
46,3,4600,6.1114793,59.72154,,-0.24018443,0.2572546,0.054491945,0.06174387
47,3,4700,7.139395,59.012367,,-0.25295246,0.24662262,0.058991805,0.05794014
48,3,4800,6.406305,59.243675,,-0.24406374,0.25197977,0.05779107,0.06106387
49,3,4900,6.796299,58.62063,,-0.23698449,0.25767338,0.054909974,0.062475473
50,3,5000,6.372133,59.532696,,-0.23892003,0.25860506,0.053883463,0.06322833
51,3,5100,6.557041,60.844486,,-0.25892806,0.24681675,0.06471099,0.05612231
52,3,5200,7.00945,56.562534,,-0.23310483,0.25126773,0.057484984,0.059031524
53,3,5300,6.2284093,58.298523,,-0.24192119,0.24898669,0.055054866,0.058373645
54,3,5400,6.768614,60.831852,,-0.250856,0.2553228,0.062774815,0.060467035
55,3,5500,6.318447,57.11926,,-0.22252935,0.25918782,0.05705645,0.063631855
56,3,5600,6.890239,58.129883,,-0.24456418,0.24932426,0.055250287,0.05777231
57,3,5700,7.072639,57.39228,,-0.23068696,0.2570492,0.059414893,0.06315838
58,3,5800,4.9742107,64.04765,,-0.23916262,0.27199537,0.05762148,0.073301874
59,3,5900,7.0298285,58.707565,,-0.23868161,0.2572859,0.056852773,0.06308039
60,3,6000,6.668599,57.15086,0,-0.22097653,0.26264453,0.05183875,0.06822925
61,4,6100,7.0657334,127.89424,,-0.21969295,0.25477242,0.05140365,0.06402558
62,4,6200,4.1944556,128.77238,,-0.22353727,0.24792397,0.051625773,0.05678072
63,4,6300,4.503772,123.5306,,-0.20957828,0.24743262,0.049292028,0.058027565
64,4,6400,5.279889,133.66194,,-0.22136009,0.26292306,0.05217267,0.06586741
65,4,6500,6.3397465,134.72021,,-0.22820759,0.26079923,0.060624488,0.06492394
66,4,6600,5.025992,129.7803,,-0.22499585,0.25128168,0.049918883,0.05886025
67,4,6700,5.069986,135.24866,,-0.24227601,0.24851272,0.058241487,0.057428196
68,4,6800,5.4834094,136.63885,,-0.24106741,0.25456762,0.05400011,0.06022606
69,4,6900,5.750623,129.8313,,-0.23067832,0.24743295,0.055625565,0.057045475
70,4,7000,6.1484375,129.51556,,-0.22248477,0.25439256,0.052888453,0.061822243
71,4,7100,6.3005066,127.39518,,-0.22068363,0.25144833,0.053197578,0.05919624
72,4,7200,6.5850444,117.934265,,-0.19436663,0.25009614,0.052472487,0.059495896
73,4,7300,4.7656283,122.059494,,-0.2014625,0.25122195,0.0467922,0.059976846
74,4,7400,4.8619885,124.32211,,-0.18693328,0.26684117,0.047605127,0.06833904
75,4,7500,5.3336806,129.7442,,-0.21388525,0.25867128,0.057206742,0.06482963
76,4,7600,4.119018,116.11417,,-0.15258455,0.26634473,0.04805267,0.08179334
77,4,7700,4.0682926,115.0609,,-0.17899811,0.2478863,0.05033593,0.06372198
78,4,7800,4.8487163,109.42436,,-0.17038935,0.24395439,0.047348097,0.05808027
79,4,7900,3.4443078,97.120056,,-0.13653928,0.2325362,0.045099273,0.061826207
80,4,8000,2.0598598,68.5666,0,-0.08388662,0.18944824,0.039092436,0.048526794
81,5,8100,0.6230306,137.46898,,-0.04475069,0.22375548,0.036201894,0.05932734
82,5,8200,2.0051568,129.79175,,-0.025747478,0.2235502,0.039693132,0.052551612
83,5,8300,0.44810623,113.416336,,0.0696255,0.22567207,0.0355924,0.05025851
84,5,8400,-0.13363326,64.719025,,0.020438433,0.13798538,0.031150585,0.039784692
85,5,8500,-2.1931376,-19.474258,,0.13005751,-0.03513767,0.032686226,0.02144649
86,5,8600,-2.7229033,-25.444347,,0.077044845,-0.07024336,0.029210424,0.015598943
87,5,8700,-2.7881386,-23.348139,,0.11694491,-0.055894196,0.032340392,0.026174838
88,5,8800,-4.3716335,-31.29688,,0.11856574,-0.09871256,0.031490877,0.023318477
89,5,8900,-3.9988096,-36.55325,,0.12372422,-0.12802057,0.025572268,0.026924966
90,5,9000,-3.9719002,-36.038406,,0.12313074,-0.12202318,0.026225133,0.024129197
91,5,9100,-3.9723585,-37.096508,,0.1468218,-0.13424145,0.029815441,0.027406117
92,5,9200,-3.979523,-36.78338,,0.07527971,-0.146748,0.015267057,0.023770131
93,5,9300,-3.7864428,-39.69991,,0.13644743,-0.14910361,0.026864773,0.023382938
94,5,9400,-3.0299497,-30.370754,,0.093159914,-0.082051545,0.018428396,0.014940631
95,5,9500,-4.7027965,-38.48392,,0.11874288,-0.15012908,0.022382056,0.026930923
96,5,9600,-3.0601916,-37.9713,,0.11724657,-0.12659627,0.022274487,0.022574214
97,5,9700,-4.732149,-39.208054,,0.13757354,-0.15535173,0.025278755,0.025778027
98,5,9800,-3.474307,-40.029877,,0.11771619,-0.14561835,0.020559283,0.022047315
99,5,9900,-3.636611,-39.8002,,0.1379841,-0.14628161,0.026506362,0.021973059
100,5,10000,-3.7381682,-41.406,0,0.12879968,-0.1640737,0.02301075,0.02244666
101,6,10100,-3.0643568,9.479683,,-0.016557515,-0.017098814,0.011815414,0.029043468
102,6,10200,-2.1162684,6.2088757,,0.009572506,-0.02320905,0.013868554,0.020612078
103,6,10300,0.18084826,6.78279,,0.01167357,0.000885427,0.022909785,0.023181142
104,6,10400,-1.5832629,7.205165,,0.05127263,-0.039834365,0.013388159,0.008776031
105,6,10500,-1.0762647,5.032604,,0.040032744,-0.028347611,0.01193242,0.011156414
106,6,10600,-0.2583054,8.167555,,-0.018244267,0.015248418,0.01709159,0.020780735
107,6,10700,-0.9534372,5.5672183,,-0.022848427,0.004093945,0.012044758,0.010327639
108,6,10800,-0.9374738,3.3517232,,-0.0054992437,-0.03516239,0.01267861,0.008665831
109,6,10900,-1.7936136,3.269394,,-0.019129634,-0.01790598,0.005695724,0.0043868823
110,6,11000,-0.9303409,2.8054917,,-0.002777934,0.0006594062,0.005667961,0.008165333
111,6,11100,-0.38630784,3.560154,,0.011959374,-0.0110037625,0.012972299,0.014901148
112,6,11200,-0.37433174,4.9072084,,0.03862989,-0.029517025,0.0124738775,0.014943607
113,6,11300,-0.14226763,3.2451577,,0.019802153,-0.009923711,0.014333982,0.011631582
114,6,11400,-1.2318088,3.6599607,,0.027568996,-0.023011267,0.010385171,0.009941197
115,6,11500,-1.4639472,3.9025412,,0.016385972,-0.0047596693,0.011710441,0.009011976
116,6,11600,1.7689087,20.608358,,-0.02715683,0.051923692,0.03890939,0.03406491
117,6,11700,-0.31751698,4.3287573,,-0.001819849,-0.009304643,0.019743772,0.012511287
118,6,11800,0.36379564,6.7530227,,0.023665905,-0.033465475,0.015506931,0.031140408
119,6,11900,-0.517588,5.527163,,-0.0004222989,-0.045351937,0.011044426,0.022721695
120,6,12000,-0.6489679,5.9394956,0,0.029809713,0.0077567697,0.012919726,0.0154622365
121,7,12100,-2.0995164,1.666524,,-6.4373016e-06,-0.027445197,0.0038784128,0.0023469198
122,7,12200,-1.4349746,2.8425992,,0.0023351908,-0.027156174,0.0038648797,0.010993926
123,7,12300,-0.8371238,1.7036679,,-0.03397149,-0.024371967,0.0067869406,0.0096911825
124,7,12400,-1.0623689,4.85966,,-0.037239134,0.020921528,0.005305686,0.004141232
125,7,12500,-3.3751059,100.52302,,-0.028821409,0.19525519,0.03148395,0.047931664
126,7,12600,-1.6460859,129.6074,,-0.15855265,0.19382656,0.046506427,0.042425066
127,7,12700,-2.7351584,113.73196,,-0.2050209,0.13337117,0.049387664,0.02826845
128,7,12800,-2.4698622,77.370605,,-0.11453283,0.13942584,0.042023167,0.037488542
129,7,12900,-3.2264957,32.68405,,-0.07697481,0.06176728,0.033484757,0.03075402
130,7,13000,-3.6000648,9.546612,,-0.042749465,-0.011191383,0.015501857,0.021145036
131,7,13100,-3.4011827,7.426296,,-0.04237801,-0.028902784,0.0128099285,0.017675402
132,7,13200,-3.7813435,8.395338,,-0.035479605,0.0009866953,0.012123669,0.015586536
133,7,13300,-3.7323933,6.6601353,,-0.00837487,-0.010324702,0.0080545135,0.015144723
134,7,13400,-3.5788894,8.012284,,-0.011306763,-0.0020094812,0.009063484,0.018754186
135,7,13500,-3.8063369,4.801576,,-0.016914308,-0.014618322,0.005615847,0.010407034
136,7,13600,-3.7271721,4.953556,,-0.019294798,-0.020507723,0.0074866135,0.0113158915
137,7,13700,-3.9179547,3.8470051,,-0.026280582,-0.029171243,0.0051353713,0.007537498
138,7,13800,-3.6362576,4.4436026,,-0.017897427,-0.040322304,0.0047612544,0.011311449
139,7,13900,-3.596668,3.259687,,-0.022027254,-0.04211408,0.0042941887,0.005777573
