,k,iteration,H,cost,converged,R1,R2
0,0,0,-21.699543,750.849,,1.6830053,26.950268
1,1,100,-22.537226,23.567394,,-0.11482525,4.537642
2,1,200,-22.71292,22.92015,,0.12332535,2.032094
3,1,300,-22.576637,22.771471,,-0.1767416,1.9660742
4,1,400,-22.46255,22.786596,,-0.0011835098,2.545771
5,1,500,-22.387358,22.680164,,-0.1584692,2.4147515
6,1,600,-22.4719,22.763197,,-0.12893581,2.4102514
7,1,700,-22.397713,22.653593,,0.10272789,2.2598772
8,1,800,-22.48074,22.707798,,-0.20493793,2.1211276
9,1,900,-22.498856,23.148012,,0.010840416,3.603197
10,1,1000,-22.504152,22.731571,,-0.2056551,2.122754
11,1,1100,-22.452211,22.624226,,-0.22892857,1.8406153
12,1,1200,-22.437262,22.759808,,-0.25879288,2.5266442
13,1,1300,-22.371914,22.647802,,-0.22240353,2.3384392
14,1,1400,-22.257395,22.477482,,-0.27169704,2.080366
15,1,1500,-22.486506,22.689785,,0.17504501,2.0087197
16,1,1600,-22.27471,22.66562,,-0.33041668,2.7765183
17,1,1700,-22.32126,22.64813,,-0.12962627,2.5535474
18,1,1800,-22.343164,22.616488,,-0.036088943,2.3377697
19,1,1900,-22.409355,22.635664,,-0.10382366,2.1249442
20,1,2000,-22.394508,22.57968,0,0.11264038,1.921124
21,2,2100,-22.575241,22.963024,,-0.104314804,1.4639895
22,2,2200,-22.616966,22.786463,,-0.20206642,0.7407079
23,2,2300,-22.585787,22.916956,,-0.29131794,1.2874384
24,2,2400,-22.479527,22.982042,,0.062625885,1.78333
25,2,2500,-22.573929,22.850805,,-0.07555294,1.118542
26,2,2600,-22.609959,22.914722,,0.17376709,1.196032
27,2,2700,-22.629982,22.816822,,-0.18188572,0.80566967
28,2,2800,-22.423958,22.964138,,-0.13508701,1.8876178
29,2,2900,-22.7323,22.98321,,0.09189987,1.0250189
30,2,3000,-22.368877,22.814497,,0.05121231,1.6269693
31,2,3100,-22.656513,22.951393,,0.06416702,1.1723733
32,2,3200,-22.598621,22.834362,,-0.17683983,0.97958195
33,2,3300,-22.4783,22.925535,,-0.16635132,1.6348877
34,2,3400,-22.376104,22.94465,,0.046901703,1.9581633
35,2,3500,-22.56755,22.960953,,-0.060887337,1.4801655
36,2,3600,-22.539589,22.906134,,0.22797585,1.3831577
37,2,3700,-22.576706,22.87235,,-0.107494354,1.179889
38,2,3800,-22.636196,22.883142,,-0.37765312,1.0066895
39,2,3900,-22.556879,22.92187,,0.025467873,1.3931088
40,2,4000,-22.578564,22.9948,0,-0.17772007,1.5464268
41,3,4100,-22.819664,22.921558,,-0.11826801,0.2670343
42,3,4200,-22.74868,23.254684,,-0.14626217,1.1008515
43,3,4300,-22.76699,23.103043,,-0.29639244,0.76809466
44,3,4400,-22.807436,23.17277,,-0.40406895,0.80979335
45,3,4500,-22.81462,23.098036,,-0.08648682,0.680148
46,3,4600,-22.692076,22.960941,,-0.13889408,0.6466259
47,3,4700,-22.705547,22.980537,,-0.17473698,0.65661716
48,3,4800,-22.77843,23.199396,,0.21476173,0.9464252
49,3,4900,-22.882349,23.215609,,-0.34757328,0.75522983
50,3,5000,-22.820541,23.154057,,-0.3463564,0.7559291
51,3,5100,-22.719454,22.958717,,-0.094195366,0.5864872
52,3,5200,-22.85967,23.283535,,0.051446915,0.9579364
53,3,5300,-22.947884,23.05533,,-0.07430363,0.2836727
54,3,5400,-22.804607,23.199867,,0.17561722,0.9004549
55,3,5500,-22.842535,23.228935,,0.1733408,0.88370895
56,3,5600,-22.845266,23.179493,,-0.20795822,0.77450395
57,3,5700,-22.796165,22.996819,,-0.124643326,0.49980342
58,3,5800,-22.796032,23.127735,,-0.36155415,0.74992204
59,3,5900,-22.81964,23.086226,,0.18381882,0.64319813
60,3,6000,-22.736963,23.268194,0,0.18162155,1.1466978
61,4,6100,-22.984102,23.227509,,0.14433861,0.36225033
62,4,6200,-23.000235,23.271257,,0.10172939,0.40472293
63,4,6300,-23.07381,23.428038,,-0.43659878,0.48846436
64,4,6400,-23.047623,23.321737,,-0.022706985,0.41656828
65,4,6500,-23.083555,23.179417,,-0.101213455,0.15927303
66,4,6600,-22.858389,23.16827,,-0.025669098,0.46419418
67,4,6700,-23.008516,23.450546,,-0.09608173,0.6308805
68,4,6800,-22.923767,23.303982,,0.10094738,0.5472541
69,4,6900,-23.084711,23.151052,,-0.005241394,0.11113179
70,4,7000,-23.069344,23.23176,,-0.13106537,0.2593881
71,4,7100,-22.984032,23.114523,,-0.06724644,0.2127099
72,4,7200,-22.979145,23.242846,,-0.22811031,0.3968147
73,4,7300,-23.128855,23.354828,,0.004336357,0.34959066
74,4,7400,-22.948803,23.36007,,-0.121831894,0.5929698
75,4,7500,-23.029577,23.15917,,-0.0511055,0.21120477
76,4,7600,-23.16637,23.51231,,-0.024593353,0.51092815
77,4,7700,-22.80202,23.418173,,-0.08333397,0.8314444
78,4,7800,-22.854576,23.192533,,-0.14629078,0.4999895
79,4,7900,-23.05554,23.133902,,-0.1903696,0.12764013
80,4,8000,-22.874968,23.384647,1,0.048399925,0.7075813
