,k,iteration,H,cost,converged,R1,R2
0,0,0,-21.66318,6521.4517,,7.45588,80.275764
1,1,100,-22.836525,25.364183,,1.3832836,6.9742165
2,1,200,-22.862242,24.058392,,0.37113523,4.8770146
3,1,300,-23.151028,23.357801,,-0.08057785,2.0319877
4,1,400,-22.877535,23.428997,,0.15243816,3.3175316
5,1,500,-22.806469,23.051369,,0.32902145,2.1885493
6,1,600,-22.75061,23.218914,,0.35418558,3.0398426
7,1,700,-22.6811,22.92188,,-0.008340836,2.1944275
8,1,800,-22.704634,22.886755,,0.17904472,1.9001
9,1,900,-22.816696,22.911505,,0.095304966,1.3737078
10,1,1000,-22.72596,22.896599,,0.10295582,1.8444958
11,1,1100,-22.846966,22.91621,,0.07313347,1.1745408
12,1,1200,-22.534761,22.75227,,0.44648504,2.037358
13,1,1300,-22.637293,22.985449,,0.32358074,2.6188593
14,1,1400,-22.65624,22.82096,,-0.0035009384,1.8150408
15,1,1500,-22.5828,22.858616,,0.22963905,2.3374286
16,1,1600,-22.774446,22.806683,,-0.06320429,0.8004576
17,1,1700,-22.718796,22.853603,,0.3560686,1.6029227
18,1,1800,-22.649885,22.872347,,0.43334913,2.0643227
19,1,1900,-22.756493,22.80337,,0.27867556,0.9273026
20,1,2000,-22.67243,22.776741,0,-0.100224495,1.4408903
21,2,2100,-22.937056,22.99029,,0.046772957,0.33338392
22,2,2200,-22.824852,22.97208,,0.10420132,0.80203974
23,2,2300,-22.743431,22.99213,,0.3154149,1.2074876
24,2,2400,-22.80945,22.998747,,0.47276258,0.9535575
25,2,2500,-22.778261,22.990791,,-0.06475973,1.0709994
26,2,2600,-22.738214,23.017462,,0.37320328,1.3153074
27,2,2700,-22.782137,23.052227,,0.22699833,1.2925966
28,2,2800,-22.745485,22.96677,,0.10975456,1.1109409
29,2,2900,-22.819656,23.022936,,0.3047285,1.0309463
30,2,3000,-22.876436,22.991957,,0.07713318,0.65578675
31,2,3100,-22.78843,22.97115,,0.097323895,0.95506823
32,2,3200,-22.790804,23.045937,,0.1533227,1.2397871
33,2,3300,-22.849916,23.007082,,-0.21935081,0.8234792
34,2,3400,-22.772,22.92824,,0.08898115,0.8418472
35,2,3500,-22.722427,22.982573,,0.38839102,1.2435198
36,2,3600,-22.868618,22.98839,,0.11451006,0.67605424
37,2,3700,-22.584227,22.949345,,0.3793702,1.6104455
38,2,3800,-22.828472,23.017313,,-0.050469875,0.97579086
39,2,3900,-22.812317,22.959574,,0.02896595,0.8010403
40,2,4000,-22.677967,22.87077,0,0.3447194,0.9844879
41,3,4100,-22.934004,23.085787,,-0.12043905,0.52033615
42,3,4200,-22.806076,23.06617,,0.09130573,0.7975066
43,3,4300,-22.867788,23.228556,,0.08445883,1.0346448
44,3,4400,-22.90406,23.072725,,-0.02733183,0.5658487
45,3,4500,-22.998476,23.070557,,0.02880764,0.26499748
46,3,4600,-22.887335,23.122807,,0.11971855,0.7319778
47,3,4700,-22.977673,23.083248,,0.0941968,0.366701
48,3,4800,-23.015842,23.076824,,0.059709072,0.22336817
49,3,4900,-22.913593,23.008001,,0.047132492,0.3368132
50,3,5000,-22.874046,23.264091,,0.08006477,1.0992539
51,3,5100,-22.954552,23.04921,,0.24419689,0.30317843
52,3,5200,-22.815514,23.061996,,0.20670033,0.7474599
53,3,5300,-23.041298,23.076855,,-0.001806736,0.13883257
54,3,5400,-22.86808,23.114965,,-0.11997795,0.77587986
55,3,5500,-22.941809,23.038155,,-0.027456284,0.3493719
56,3,5600,-23.083366,23.102467,,0.1996932,0.04147041
57,3,5700,-22.978666,23.078943,,0.058897495,0.35431468
58,3,5800,-22.86099,23.077538,,-0.05198288,0.69678426
59,3,5900,-22.927485,23.07574,,-0.05992794,0.5090076
60,3,6000,-22.82903,23.077827,0,0.20178413,0.75417376
61,4,6100,-22.989704,23.119473,,-0.12673044,0.29757762
62,4,6200,-22.975609,23.077698,,0.29341173,0.15517151
63,4,6300,-23.04574,23.141956,,0.045199394,0.21303594
64,4,6400,-23.097246,23.163742,,0.20782852,0.10701871
65,4,6500,-23.077007,23.113289,,-0.07178593,0.096684456
66,4,6600,-23.052769,23.112074,,0.08001137,0.12622476
67,4,6700,-23.02752,23.116701,,-0.10188341,0.21476758
68,4,6800,-23.041967,23.098568,,-0.17943573,0.14620876
69,4,6900,-23.106623,23.115099,,0.014057159,0.018952608
70,4,7000,-23.038923,23.1931,,-0.04923582,0.34002912
71,4,7100,-22.898819,23.28205,,0.12286997,0.69834745
72,4,7200,-23.10426,23.189411,,-0.11916208,0.2070769
73,4,7300,-23.024641,23.167604,,-0.10443258,0.32228088
74,4,7400,-22.948841,23.23201,,0.1082778,0.5450226
75,4,7500,-22.949987,23.165535,,0.2569828,0.3933612
76,4,7600,-23.054453,23.130684,,0.090406895,0.16148019
77,4,7700,-22.99885,23.023867,,-0.0393281,0.0670048
78,4,7800,-23.049831,23.127111,,-0.06844807,0.18747616
79,4,7900,-22.956049,23.198881,,-0.058648586,0.4987527
80,4,8000,-23.083725,23.10703,1,-0.13151312,0.06965244
