,k,iteration,H,cost,converged,R1,R2
0,0,0,2.4083784,-2.408287,,-0.0075002313,0.005920669
1,1,50,2.3199325,2.0545306,,-0.007653892,0.005376541
2,1,100,2.1119688,-0.19633532,,0.0053379536,0.0031335158
3,1,150,2.0659895,-1.5305948,,0.0002927184,0.0032591731
4,1,200,2.042935,-1.0608748,,-0.0027210116,0.003498185
5,1,250,1.9474726,-0.87900615,,0.003936112,0.002424119
6,1,300,2.0029533,-1.6110841,,0.00016075373,0.0027949135
7,1,350,2.0782042,-0.74022865,,-0.0036076307,0.003707359
8,1,400,2.086513,-1.479948,,-0.00021082163,0.0034766155
9,1,450,2.257965,-0.6887299,,0.0037269592,0.0041826405
10,1,500,2.3204534,-1.0713342,,0.0018359423,0.0046488387
11,1,550,2.3085477,2.3745358,,0.008324802,0.004935519
12,1,600,2.2604074,-1.0643698,,-0.0006840229,0.004842816
13,1,650,1.9141228,1.5852549,,0.007696986,0.0032777973
14,1,700,1.9756337,-1.1411004,,0.00026971102,0.004076509
15,1,750,1.8633957,-1.2204442,,0.00092846155,0.003463667
16,1,800,1.8852664,-1.1193049,,0.0016601682,0.0035444424
17,1,850,1.9540814,-1.3577081,,-0.00031667948,0.003439067
18,1,900,1.9063512,0.11417997,,0.005662918,0.0028882492
19,1,950,1.6999671,0.66637063,,0.006313026,0.0027335794
20,1,1000,1.7347615,-0.8324837,,0.0032004118,0.0027933707
21,1,1050,1.8027076,0.5804621,,-0.005771637,0.0037883506
22,1,1100,1.760336,3.4788656,,-0.009265184,0.0043520564
23,1,1150,1.6867287,0.4977336,,-0.0054482818,0.0037423884
24,1,1200,1.7568617,-1.0446393,,0.0016158223,0.0034108013
25,1,1250,1.7033303,-0.99476475,,0.0021326542,0.0031021116
26,1,1300,1.7596134,-0.5472603,,-0.003551066,0.0034113037
27,1,1350,1.6738472,0.43111205,,0.006171584,0.0020026811
28,1,1400,1.6976608,0.94034374,,0.006934941,0.0021602511
29,1,1450,1.6801045,-1.249943,,0.00038796663,0.0029073549
30,1,1500,1.8426721,-1.3666548,,-0.00050741434,0.0030434974
31,1,1550,1.6644768,-1.3296217,,0.00023823977,0.0025768862
32,1,1600,1.597405,-0.60799223,,0.0039660335,0.0020146547
33,1,1650,1.7167833,-1.2264704,,0.0018001795,0.002562345
34,1,1700,1.5683985,0.059894085,,0.005379617,0.0019040933
35,1,1750,1.7392584,-0.82327974,,0.0034532547,0.002528756
36,1,1800,1.9670814,-0.28031504,,-0.0045471787,0.0036136536
37,1,1850,1.8511792,-1.0211008,,-0.00263232,0.0031100581
38,1,1900,1.8724701,-1.1595764,,0.002008617,0.0031973948
