,k,iteration,H,cost,converged,R1,R2
0,0,0,2.3931038,-2.392956,,-0.010735631,0.0057091564
1,1,50,2.337674,-0.9543805,,-0.002025783,0.004854078
2,1,100,2.329857,-1.2661202,,0.0010434389,0.0044928803
3,1,150,2.360653,0.36404443,,-0.0049194098,0.00550394
4,1,200,2.304022,-0.3298241,,0.004817784,0.0040339706
5,1,250,2.3031375,0.0959959,,0.0049922466,0.004802098
6,1,300,2.3200371,-0.71303344,,0.003933847,0.004082269
7,1,350,2.3207178,-1.2492627,,-0.00088089705,0.0045445706
8,1,400,2.2603683,-1.4617136,,-9.36389e-05,0.0039955387
9,1,450,2.2972894,-0.635705,,-0.0034164786,0.004643206
10,1,500,2.3015573,-0.29744172,,-0.003471136,0.0052946694
11,1,550,2.327207,0.050714493,,-0.004706979,0.005040117
12,1,600,2.2865767,-0.8434993,,-0.0022776723,0.0048655686
13,1,650,2.2641587,0.21550441,,0.005644202,0.0042114416
14,1,700,2.2371752,-0.47026587,,0.0047834516,0.003529416
15,1,750,2.2823505,-1.2342544,,0.0017840862,0.0042165103
16,1,800,2.2302556,-0.96348274,,0.002620399,0.0042975536
17,1,850,2.2755866,-1.1706524,,0.0010173321,0.0045895227
18,1,900,2.2815936,-1.2287524,,9.828806e-05,0.0045877188
19,1,950,2.2684233,-1.3500788,,-0.0010321736,0.0041595083
20,1,1000,2.2503145,-1.2531028,,0.0017322302,0.004116262
21,1,1050,2.2018726,-1.4194314,,0.0006914139,0.0038949675
22,1,1100,2.2186687,0.77948976,,0.006625831,0.0040076845
23,1,1150,2.2374158,3.5099106,,0.009805679,0.004335341
24,1,1200,2.2466052,2.329394,,0.008366406,0.004639314
25,1,1250,2.2541978,-0.7527852,,0.0036543012,0.004083422
26,1,1300,2.2215133,-0.90721536,,0.002082646,0.0046849274
27,1,1350,2.253688,-0.68901634,,0.0026977062,0.0049005933
28,1,1400,2.2462897,-0.81148577,,0.002272725,0.0048508556
29,1,1450,2.2630734,0.17887402,,0.005341828,0.0045059766
30,1,1500,2.2435377,-0.6465788,,0.0022659898,0.005177303
31,1,1550,2.2702012,-1.1610768,,0.0011935234,0.004556094
32,1,1600,2.266253,-0.92371655,,-0.00035226345,0.0051697814
33,1,1650,2.240553,-1.3007102,,0.00021761656,0.004330069
34,1,1700,2.2467394,-0.7813406,,-0.002280891,0.0049097366
35,1,1750,2.2521539,1.5758567,,0.0075558424,0.0044124206
36,1,1800,2.2703047,-0.7068682,,0.0026887655,0.004902986
37,1,1850,2.2157395,-1.1309901,,0.0007073283,0.0046037673
38,1,1900,2.283445,-0.8208618,,-0.001681447,0.0051404666
39,1,1950,2.2587633,-1.0991728,,0.0007878542,0.0047509046
40,1,2000,2.2558515,-0.75943696,,-0.0011610389,0.005346053
41,1,2050,2.2537189,-0.88056684,,-0.0016667843,0.004968387
42,1,2100,2.28246,-1.2224033,,0.0008573532,0.004523945
43,1,2150,2.2621872,-1.0991008,,0.0013113022,0.004641359
44,1,2200,2.259215,-0.91064405,,-0.0019060373,0.0048309877
45,1,2250,2.277369,-1.1313968,,0.0011491776,0.0046474547
46,1,2300,2.2692544,-0.9968897,,0.00059628487,0.0050091655
47,1,2350,2.2669575,1.2454331,,0.00726676,0.0041763633
48,1,2400,2.3013875,0.07646632,,0.0051736236,0.0045596818
49,1,2450,2.2575254,-1.0390795,,-0.0002757907,0.0049287784
50,1,2500,2.2423208,0.056409597,,0.0046007633,0.004980721
51,1,2550,2.2432134,-1.0158924,,0.0010253191,0.0048471787
52,1,2600,2.2361765,-0.69999886,,0.0026913881,0.004845615
53,1,2650,2.212433,-1.052223,,-0.00079125166,0.004751644
54,1,2700,2.2295644,0.11329651,,0.0047180653,0.004959544
55,1,2750,2.203517,-0.5629488,,-0.0021772385,0.005298207
56,1,2800,2.2548716,-0.82952166,,0.0004760027,0.005317934
57,1,2850,2.2669868,-0.29808617,,-0.003575623,0.0051568337
58,1,2900,2.2304251,0.19117093,,-0.005171716,0.0046567447
59,1,2950,2.2462296,-0.88632035,,0.0006196499,0.005178245
60,1,3000,2.2598016,-0.8221556,,-0.0017041564,0.0050841686
61,1,3050,2.2528694,-1.0776472,,-0.0014266372,0.004633481
62,1,3100,2.2509844,-1.0989397,,0.0014054775,0.0045897197
63,1,3150,2.2595315,-0.24208188,,-0.0033179522,0.0054166582
64,1,3200,2.2646034,-1.0103405,,0.0013296008,0.0048288116
65,1,3250,2.2393868,-0.9691756,,0.0020989776,0.004582414
66,1,3300,2.3221226,-0.19706893,,-0.0037021637,0.005366103
67,1,3350,2.3530445,0.6949003,,-0.0053468347,0.0056894864
68,1,3400,2.3492482,-0.47323787,,-0.002924621,0.005382081
69,1,3450,2.3496544,-0.66557026,,-0.00069224834,0.005762159
70,1,3500,2.335299,-1.1040738,,0.0009533167,0.004869876
71,1,3550,2.2993503,-0.7252308,,0.0028203726,0.004850555
72,1,3600,2.2921538,-1.04552,,-0.001003027,0.004891484
73,1,3650,2.3642135,-0.94110405,,-0.0007663369,0.00527967
74,1,3700,2.3795424,0.09828067,,-0.003847301,0.0058953147
75,1,3750,2.372961,-0.65399516,,-0.0026512742,0.0052297288
76,1,3800,2.3467546,-0.6385962,,-0.0017671585,0.005571384
77,1,3850,2.34192,-0.9375839,,-0.0010364056,0.005197363
78,1,3900,2.286827,0.9474306,,0.006433487,0.004826531
79,1,3950,2.2772083,0.106044054,,0.004871607,0.0048920847
80,1,4000,2.2545998,0.64193344,,0.005991459,0.004693941
81,1,4050,2.2977934,-1.0848272,,-0.00074994564,0.0048679467
82,1,4100,2.2479846,-0.15511155,,0.004594207,0.0045552966
83,1,4150,2.0954812,17.102226,,0.019100845,0.004371716
