,k,iteration,H,cost,converged,R1,R2
0,0,0,2.3958285,-2.3955464,,-0.015796661,0.0057064625
1,1,50,2.326798,-0.84951925,,-0.0011181831,0.005319327
2,1,100,2.3150196,3.0362,,-0.008498192,0.0058995867
3,1,150,2.376239,1.511792,,-0.0068100095,0.0056021768
4,1,200,2.3244967,0.47865295,,-0.0057510138,0.004794667
5,1,250,2.3569043,2.093005,,-0.007916331,0.0051312647
6,1,300,2.3618252,-0.7998494,,-0.0022746325,0.0051054447
7,1,350,2.3082702,-0.93954873,,0.0006173253,0.0051955115
8,1,400,2.3270311,-0.56383264,,-0.001554668,0.0057312283
9,1,450,2.3342144,-1.0078311,,0.00017172098,0.0051476383
10,1,500,2.418639,-0.16385174,,-0.003943324,0.0054356176
11,1,550,2.344088,-0.33937955,,0.0039596558,0.004941184
12,1,600,2.3867478,-1.2789186,,0.00025957823,0.004699915
13,1,650,2.2650454,-0.9358324,,0.001914978,0.004787183
14,1,700,2.2621033,-0.11158323,,0.004819572,0.0044477102
15,1,750,2.2972872,0.8320694,,-0.006284237,0.0048057777
16,1,800,2.2179842,-1.380228,,0.00026869774,0.0040844735
17,1,850,2.2673452,-0.9451119,,-0.0017632246,0.0048307045
18,1,900,2.1850882,-0.7693169,,0.0033680797,0.004119644
19,1,950,2.291095,-1.0185926,,0.0026765466,0.0042762305
20,1,1000,2.2679315,2.0849514,,-0.0078058243,0.0051114345
21,1,1050,2.2388015,-1.1136818,,0.0020104647,0.00429656
22,1,1100,2.206637,-1.0418255,,-0.0017353892,0.0045038485
23,1,1150,2.1525671,-0.78122544,,0.003713429,0.0036928686
24,1,1200,2.1562717,-0.8777354,,0.0028506517,0.004176663
25,1,1250,2.2198632,-1.1215593,,0.0016230345,0.0043967986
26,1,1300,2.1551669,-1.1818569,,-0.00076955557,0.00434442
27,1,1350,2.0645576,-0.011898518,,0.0052514076,0.0036709537
28,1,1400,2.078646,-0.994815,,0.0029441118,0.0036067748
29,1,1450,2.1868649,-1.123223,,0.000629127,0.00456914
30,1,1500,2.1957607,-1.3678629,,0.0009237528,0.0039629075
31,1,1550,2.1446285,-1.1212485,,0.0019299984,0.0040917853
32,1,1600,2.1423776,0.55090785,,-0.005731046,0.004584847
33,1,1650,2.0577524,-1.3174661,,0.0004644394,0.0038196887
34,1,1700,2.0366166,-1.3195312,,0.0010509491,0.0036382983
35,1,1750,2.1039064,-0.19271207,,-0.0045694113,0.004164657
