,k,iteration,H,cost,converged,R1,R2
0,0,0,2.3787584,-2.3786976,,-0.0061330795,0.0048259017
1,1,50,2.1816006,0.35469198,,0.005541146,0.0044745454
2,1,100,2.1773524,0.44008183,,-0.0027955174,0.0066733626
3,1,150,2.2055063,7.3394766,,-0.0119514465,0.0069327187
4,1,200,2.148478,-0.07914257,,0.0011177063,0.0063354117
5,1,250,2.201631,-0.42278588,,2.7894974e-05,0.0059645725
6,1,300,2.1242776,6.1989093,,-0.011053085,0.0066553024
7,1,350,1.9941386,3.291288,,0.008677602,0.0055143232
8,1,400,2.005348,-0.3739289,,-0.00077593327,0.0056591793
9,1,450,2.091905,0.23316526,,0.0044302344,0.0051840553
10,1,500,2.126007,0.023445845,,-0.0015274882,0.006376193
11,1,550,1.997565,16.716328,,0.018884182,0.004203039
12,1,600,1.5760868,51.946373,,0.03232616,0.0050466396
13,1,650,1.7033322,2.1911292,,0.0049681067,0.007294323
14,1,700,1.694222,0.6595309,,0.0017480254,0.0066347164
15,1,750,1.6956042,1.1517712,,0.0018054247,0.007327206
16,1,800,1.6467385,10.885803,,0.014486015,0.006387974
17,1,850,1.8500416,2.1718915,,-0.0046333075,0.0076792664
18,1,900,1.7326123,1.2951492,,0.003313303,0.0070411116
19,1,950,1.7811728,1.6864431,,-0.0037239194,0.007448808
20,1,1000,1.8191806,1.3439528,,-0.0030132532,0.0073609087
21,1,1050,1.6599737,0.9407097,,0.0011367798,0.007121896
22,1,1100,1.7373959,1.5735987,,-0.0028763413,0.0076122633
23,1,1150,1.7074082,1.1699209,,9.8109245e-05,0.007585312
24,1,1200,1.5472718,19.451456,,0.019614518,0.005936771
25,1,1250,1.6759778,3.7499666,,0.008231759,0.006384123
26,1,1300,1.7365823,1.2534409,,0.003036201,0.0071120984
27,1,1350,1.7074196,2.6544383,,0.0067430735,0.0064628264
28,1,1400,1.7426109,2.542563,,0.0065665245,0.006525659
29,1,1450,1.7322514,9.1381235,,-0.012188911,0.008296862
30,1,1500,1.6625704,1.8750635,,0.0053384304,0.0065002954
31,1,1550,1.6201315,1.5371833,,-0.0021899343,0.007638749
32,1,1600,1.6025335,1.068144,,-0.0013773441,0.0071774977
33,1,1650,1.6588849,0.784181,,-0.00062197447,0.006962361
34,1,1700,1.6297462,0.9076817,,0.001891613,0.006868068
35,1,1750,1.6716636,4.198681,,0.008460462,0.006769599
36,1,1800,1.6960351,1.8497751,,0.0051918626,0.0066302917
37,1,1850,1.7138404,0.66960037,,0.00086581707,0.0068497574
38,1,1900,1.6860199,2.5545769,,0.0065009,0.0065230546
39,1,1950,1.6823812,0.8484578,,0.0021218657,0.0067907632
40,1,2000,1.6074027,23.886162,,0.022010267,0.0050417664
41,1,2050,1.7407614,3.976626,,0.0089101195,0.0059124883
42,1,2100,1.6398126,52.716095,,-0.031450808,0.009897724
43,1,2150,1.6893945,16.21474,,-0.016613424,0.009059628
44,1,2200,1.78716,5.0903525,,-0.008156776,0.008427173
45,1,2250,1.7321177,1.1721797,,0.0016840696,0.0074330247
46,1,2300,1.8006173,0.8581873,,0.0023140311,0.0069152983
47,1,2350,1.8098685,1.625846,,-0.003249228,0.007626061
48,1,2400,1.6920475,4.835981,,0.0090997815,0.006910466
49,1,2450,1.711124,0.9483187,,0.0011707544,0.007198485
50,1,2500,1.7327855,1.60583,,0.004460752,0.0068464587
51,1,2550,1.738116,1.2536383,,-0.0009546876,0.0076761744
52,1,2600,1.7007407,0.71185005,,0.0010413527,0.0068678525
53,1,2650,1.702767,1.2310032,,-0.0025860071,0.007210268
54,1,2700,1.7121047,2.1552372,,-0.0042437315,0.0077030887
55,1,2750,1.7865452,2.4920554,,0.0071879625,0.0058228183
56,1,2800,1.7493516,4.3919997,,0.009082913,0.00635041
57,1,2850,1.8362067,8.991238,,-0.012332261,0.008028962
58,1,2900,1.7963104,1.2086484,,-0.0023121834,0.007399526
59,1,2950,1.8366425,0.66822743,,0.0020584464,0.0067720157
60,1,3000,1.8466114,1.0385245,,0.0030606985,0.0069523263
61,1,3050,1.7454947,15.39575,,0.01764828,0.005600279
62,1,3100,1.8810016,0.7493268,,-0.002667427,0.0067447317
63,1,3150,1.8981296,3.8925624,,-0.007138431,0.008053362
64,1,3200,1.8790805,7.950577,,-0.011637986,0.007819874
65,1,3250,1.8705184,2.1582248,,-0.005097389,0.0073886053
66,1,3300,1.7798084,4.0141754,,-0.007223606,0.007981177
67,1,3350,1.7808155,0.45552075,,-0.00054472685,0.006665583
68,1,3400,1.4167981,66.8949,,0.036666095,0.0046724062
69,1,3450,1.6237915,13.76893,,0.016627312,0.005602404
70,1,3500,1.6259148,8.487793,,0.013438165,0.0046572397
71,1,3550,1.6852641,0.56121445,,0.0002079606,0.0066997255
72,1,3600,1.663208,0.9690845,,0.004417658,0.0057558795
73,1,3650,1.639895,1.7754064,,0.0056263804,0.006053914
74,1,3700,1.6790825,0.14650178,,0.001149416,0.0059321607
75,1,3750,1.741145,3.0101252,,-0.0070848465,0.0066955476
76,1,3800,1.7293454,3.038268,,0.007869184,0.0057817134
77,1,3850,1.5399448,22.941084,,0.02173251,0.0041615674
78,1,3900,1.5352578,9.87248,,0.0147945285,0.003045763
79,1,3950,1.5939419,11.015181,,0.015614212,0.0028946223
80,1,4000,1.7107718,1.5609365,,0.007506609,0.003014131
81,1,4050,1.6763748,5.724216,,0.011903703,0.0025127013
82,1,4100,1.704917,-0.72310627,,0.002806902,0.0034289234
83,1,4150,1.6926996,-1.0614777,,-0.0004644394,0.0035226033
84,1,4200,1.645996,-1.0364399,,-0.00012332201,0.0034893998
85,1,4250,1.6368704,-0.13000584,,0.0049034953,0.0024684053
86,1,4300,1.5408127,-1.0281506,,0.00091558695,0.0030683782
87,1,4350,1.7806851,-0.9533131,,-0.00039339066,0.004048788
88,1,4400,1.7268432,-1.2725675,,-0.00048279762,0.0029753018
89,1,4450,1.6470164,-1.1465759,,-0.00052165985,0.0031203656
90,1,4500,1.6596484,-1.1030115,,-0.0003697276,0.0033160276
91,1,4550,1.7397568,-0.90651673,,0.0024882555,0.0032362612
92,1,4600,1.5840929,-1.0688903,,0.0018735528,0.0026065013
93,1,4650,1.67978,-0.6430867,,0.0035156608,0.002893786
94,1,4700,1.6331377,-0.70479244,,-0.0019503236,0.0038422835
95,1,4750,1.5524781,-0.17176867,,0.0042351484,0.003110901
96,1,4800,1.5823354,-0.67565334,,-0.0020413995,0.0037371549
97,1,4850,1.5815222,-0.29121995,,0.004097998,0.0030020755
98,1,4900,1.5546274,-0.86214536,,0.0024929643,0.0027631088
99,1,4950,1.582146,-0.39119327,,0.0040584803,0.0027106814
100,1,5000,1.6967895,-1.1434023,0,0.0015403628,0.002948733
101,2,5050,1.6398056,0.0004786849,,-0.0018163323,0.0036692177
102,2,5100,1.5972207,0.44781125,,-0.004230857,0.003739288
103,2,5150,1.8121415,5.584879,,-0.01178509,0.0044033905
104,2,5200,1.6773871,-0.6262411,,-0.002570033,0.0026217648
105,2,5250,1.6704174,0.6897224,,0.0038346052,0.002471623
106,2,5300,1.635238,-0.44592825,,-0.0007775426,0.0029055001
107,2,5350,1.825008,-0.17264593,,-0.0022588372,0.0036542043
108,2,5400,1.7377276,-0.19351524,,3.618002e-05,0.0033335043
109,2,5450,1.6052902,0.6643008,,0.003479123,0.0026427181
110,2,5500,1.6526474,0.14205778,,-0.0030433536,0.0037372871
111,2,5550,1.7175479,-0.35574037,,-0.0009357333,0.003210676
112,2,5600,1.7275265,0.17833412,,-0.003287077,0.0038434644
113,2,5650,1.4798416,-0.6704,,-0.0017712712,0.0022669411
114,2,5700,1.6989392,0.25435686,,-0.005393982,0.0029912405
115,2,5750,1.6987693,0.6353251,,-0.0044279695,0.0040805885
116,2,5800,1.5291095,2.9236257,,0.00476557,0.0048202863
117,2,5850,1.5633883,-0.13270569,,-0.0011615753,0.0033391854
118,2,5900,1.4786714,1.4383026,,0.0048165917,0.0024360935
119,2,5950,1.4161452,2.6574883,,0.006507039,0.0023219152
120,2,6000,1.5635871,0.07403654,,0.0005697608,0.0033256272
121,2,6050,1.2569165,3.282491,,-0.004384637,0.0067345514
122,2,6100,1.5170363,2.4282353,,0.0037231445,0.0049423166
123,2,6150,1.436026,4.5452194,,-0.008453429,0.0061563295
124,2,6200,1.3111377,3.3193572,,-0.0048366785,0.0066851624
125,2,6250,0.98851657,2.1521397,,-0.004497409,0.0051220013
126,2,6300,0.5073909,561.3787,,-0.10542938,0.018402196
127,2,6350,0.6080864,34.418922,,-0.02478981,0.010130682
128,2,6400,0.3751515,8.734767,,-0.007825017,0.009451639
129,2,6450,0.27365795,7.7680154,,-0.005051255,0.009683561
130,2,6500,-0.07870696,19.67244,,0.015366614,0.007872384
131,2,6550,-0.24379368,57.26236,,0.031122625,0.006247368
132,2,6600,-0.3928013,61.524555,,0.032404304,0.0060769226
133,2,6650,-0.35208806,71.551735,,0.035208464,0.0062482446
134,2,6700,-0.13016072,20.124647,,0.015302062,0.008333563
135,2,6750,-0.20769314,19.913757,,0.015336931,0.0080215
136,2,6800,0.15465862,7.945855,,0.00412935,0.008922761
137,2,6850,-0.14952466,14.642157,,0.011341095,0.008669719
138,2,6900,-0.0029948996,9.577465,,0.006131828,0.009038537
139,2,6950,0.34590018,6.3584547,,-0.00038528442,0.009043791
140,2,7000,0.2698593,8.362907,,0.006265044,0.008132724
141,2,7050,0.3714491,6.9731274,,0.0042093396,0.0082271425
142,2,7100,0.3450959,6.327665,,-0.00010585785,0.008987144
143,2,7150,0.2208297,9.732446,,0.007661462,0.008252146
144,2,7200,0.20028876,7.463611,,0.0038611293,0.008677514
145,2,7250,0.54591334,11.946315,,-0.010689497,0.010363128
146,2,7300,0.51489383,19.834877,,-0.016450584,0.01104228
147,2,7350,0.015839873,11.304858,,0.008404195,0.008823584
148,2,7400,0.3541754,6.735141,,0.003077805,0.0085197715
149,2,7450,0.20962782,7.6273274,,0.0039930344,0.008764011
150,2,7500,0.48652604,9.42467,,-0.008016646,0.009987628
151,2,7550,0.33614135,7.095514,,0.0032765865,0.008734496
152,2,7600,-0.036817975,14.133871,,0.011607707,0.008011973
153,2,7650,0.058830146,9.511965,,0.006040156,0.009093666
154,2,7700,0.35631087,6.7136817,,0.0031216145,0.008485145
155,2,7750,-0.07146682,14.904202,,0.011937499,0.008279343
156,2,7800,-0.62134254,29.533222,,0.02004373,0.008161273
157,2,7850,0.14048208,8.870298,,-0.0061452985,0.01009266
158,2,7900,0.15441681,6.9576902,,-0.00059479475,0.009396946
159,2,7950,0.3282418,8.070973,,-0.0052583814,0.009905387
160,2,8000,0.16472884,8.637967,,0.0045436025,0.009303085
161,2,8050,-0.14519039,9.106384,,0.0050035715,0.00919493
162,2,8100,0.27528766,6.414936,,0.00072842836,0.008871792
163,2,8150,0.04206483,8.842056,,0.00637722,0.008279002
164,2,8200,0.39389,7.3088593,,-0.005355537,0.009321849
165,2,8250,-0.27439094,29.830921,,0.020632446,0.0075662495
166,2,8300,-0.40534943,31.027596,,0.021096349,0.0075912843
167,2,8350,-1.8841437,67.40055,,0.033209085,0.0077223345
168,2,8400,-1.5607784,43.94651,,0.025433064,0.008506249
169,2,8450,-1.8370156,55.91394,,0.029602587,0.0081293015
170,2,8500,-2.017103,72.09512,,0.034437656,0.0079237195
171,2,8550,-1.351028,52.727592,,0.028901935,0.007627917
