,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,11.412489,1471.782,,2.6075337,-5.196866,23.346725,30.071884
1,1,50,11.718785,-10.994204,,1.9355642,-4.7563343,25.16219,28.100874
2,1,100,11.62276,-11.143094,,1.1512038,-3.4205115,21.900906,21.60224
3,1,150,11.752278,-11.107575,,1.8639215,-4.110309,24.836966,25.53745
4,1,200,11.72901,-11.182333,,1.5665575,-4.0261545,21.989626,24.313469
5,1,250,11.781721,-11.201126,,1.9606606,-4.023864,23.248476,24.50843
6,1,300,11.728629,-11.183039,,1.5736523,-3.978206,21.917128,24.34167
7,1,350,11.709788,-11.201793,,1.1285838,-3.7397616,21.930712,22.798569
8,1,400,11.690398,-11.190823,,1.0359032,-3.646705,21.680471,22.687832
9,1,450,11.67259,-11.179066,,1.007099,-3.6420922,21.890717,22.21637
10,1,500,11.704525,-11.1734295,,1.4194663,-3.814105,22.449255,23.273563
11,1,550,11.71802,-11.191499,,1.51025,-3.8647158,22.168608,23.331951
12,1,600,11.67199,-11.178513,,1.1773432,-3.815755,20.400234,23.555025
13,1,650,11.65928,-11.190194,,1.1813883,-3.514032,21.346912,21.650309
14,1,700,11.7034445,-11.151485,,1.5398707,-3.89309,22.242668,24.323957
15,1,750,11.752303,-11.156891,,1.8001508,-3.9527843,24.313906,24.099648
16,1,800,11.712902,-11.230838,,1.6174111,-3.745778,21.084515,22.425985
17,1,850,11.680418,-11.236883,,1.3483273,-3.721224,19.206923,22.416452
18,1,900,11.654958,-11.184884,,1.0967526,-3.712851,20.478977,22.489367
19,1,950,11.749266,-11.1825075,,1.3583028,-4.011636,22.903078,24.311049
20,1,1000,11.684386,-11.195938,0,1.4757667,-3.614499,21.702557,22.150684
21,2,1050,11.004437,-9.515857,,0.29423335,-2.3959005,11.346931,17.105217
22,2,1100,10.9262905,-9.664409,,0.0063929386,-2.2395115,9.67819,15.7661085
23,2,1150,10.926906,-9.5595045,,0.17175981,-2.2521014,10.600175,16.318195
24,2,1200,11.000484,-9.482063,,0.54092735,-2.52475,11.3156395,17.427845
25,2,1250,11.053478,-9.565061,,0.26629725,-2.778375,9.757194,18.143246
26,2,1300,10.899047,-9.592237,,0.26020822,-2.3147166,9.532205,16.370546
27,2,1350,10.843293,-9.578106,,0.10070769,-2.1853633,9.780161,15.738387
28,2,1400,11.003553,-9.371053,,0.42081288,-2.7817106,11.078501,18.766935
29,2,1450,10.995348,-9.494487,,0.43189755,-2.4992325,11.656137,16.989613
30,2,1500,10.747117,-9.423327,,0.2988396,-1.9799418,10.246937,16.108572
31,2,1550,10.987612,-9.471886,,0.558102,-2.5933135,11.138723,17.515598
32,2,1600,10.8198595,-9.571454,,0.20246409,-2.0956979,10.185463,15.25246
33,2,1650,10.998761,-9.604665,,0.30829722,-2.4724016,10.575033,16.603388
34,2,1700,10.965338,-9.659001,,0.45601505,-2.2769446,10.470307,15.693118
35,2,1750,10.891332,-9.571246,,0.03767323,-2.303259,9.888881,16.28238
36,2,1800,11.023692,-9.516379,,0.48496243,-2.4996657,11.48217,17.189554
37,2,1850,10.986225,-9.587688,,0.11086039,-2.5610778,10.053651,17.011871
38,2,1900,10.976147,-9.618405,,0.18547004,-2.1649551,11.290531,15.693744
39,2,1950,10.952338,-9.484896,,0.37623754,-2.3868215,11.348802,16.867975
