,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,11.480632,1540.6426,,2.6065953,-5.162283,24.556967,30.259462
1,1,50,11.512741,-11.026732,,1.4648255,-3.9986157,20.636662,22.978497
2,1,100,11.520785,-11.077188,,1.6073872,-3.9897814,18.718054,22.766806
3,1,150,11.570101,-11.0681925,,1.2757716,-4.1208525,20.438953,23.821362
4,1,200,11.624683,-11.106285,,1.6348073,-4.0829043,21.169577,23.860065
5,1,250,11.689962,-11.12609,,1.7267962,-4.2198615,22.345741,24.650028
6,1,300,11.720036,-11.154641,,1.971498,-4.0864973,22.613922,24.470648
7,1,350,11.659471,-11.181663,,1.4536303,-3.832889,21.064672,22.250664
8,1,400,11.724636,-11.166997,,1.7230821,-4.242694,22.288822,24.444159
9,1,450,11.732237,-11.199481,,1.2916094,-4.064317,21.654083,24.050474
10,1,500,11.702457,-11.21607,,1.150197,-3.7359262,22.188917,21.567242
11,1,550,11.710244,-11.224694,,1.3365823,-3.9203749,20.104345,23.446947
12,1,600,11.6951,-11.197554,,1.067298,-3.8655038,21.778713,22.465513
13,1,650,11.699585,-11.2372,,1.42279,-3.7964447,20.477102,22.113825
14,1,700,11.701793,-11.229889,,1.3674415,-3.842128,20.316624,22.680616
15,1,750,11.691777,-11.237398,,1.139455,-3.6155028,21.001575,21.29136
16,1,800,11.639456,-11.2317705,,0.9853984,-3.5596497,19.121634,20.882809
17,1,850,11.722207,-11.239021,,1.7052618,-3.6907082,22.123236,21.457033
18,1,900,11.657101,-11.235737,,0.92372173,-3.5039291,19.858694,20.862125
19,1,950,11.747872,-11.206354,,1.5215958,-4.0158024,21.902212,24.18443
20,1,1000,11.704903,-11.264053,0,1.2015613,-3.6366463,20.332708,21.298122
21,2,1050,11.068637,-9.9176035,,0.08648335,-2.3401432,11.593611,13.163293
22,2,1100,11.023597,-9.904992,,0.24587272,-2.2616625,10.925178,13.324554
23,2,1150,11.064616,-9.938934,,0.35580593,-2.3156881,10.467312,13.788274
24,2,1200,10.963729,-9.9786415,,0.039001316,-1.9105406,10.882589,11.547881
25,2,1250,10.996294,-9.945734,,0.07514214,-2.3264663,9.283709,13.737699
26,2,1300,10.930595,-10.002009,,0.046672218,-2.0311642,9.938817,11.556611
27,2,1350,11.03879,-9.938505,,0.71634954,-2.320044,10.5106945,13.400272
28,2,1400,10.997326,-9.985207,,0.27038875,-2.1437826,10.383066,12.3479
29,2,1450,10.871624,-9.998258,,0.33605275,-1.7482061,9.348612,11.290103
30,2,1500,10.965023,-10.004646,,0.40782925,-1.9995217,10.340118,11.659414
31,2,1550,11.000877,-9.972363,,0.06791307,-2.2260685,9.563031,13.246584
32,2,1600,10.844882,-9.993221,,0.27097994,-1.7681842,8.92128,11.328295
33,2,1650,10.891651,-9.999363,,0.34411496,-2.0326424,8.633095,12.112345
34,2,1700,10.938474,-9.923176,,0.4376611,-2.160665,9.809537,12.868698
35,2,1750,10.886005,-10.018223,,0.09033203,-1.7674422,10.075489,10.546682
36,2,1800,11.001408,-10.071231,,0.28785697,-2.0748343,9.916678,11.5854845
37,2,1850,10.950172,-10.035622,,0.32011467,-2.0715733,9.3362875,11.856585
38,2,1900,10.947678,-9.995456,,0.29843807,-2.217342,9.478003,12.25544
39,2,1950,10.85959,-10.01663,,-0.08917529,-1.5579185,10.394393,9.8708515
40,2,2000,10.850572,-10.040296,0,-0.06519401,-1.9508815,8.320607,11.178425
41,3,2050,10.644917,-9.207368,,-0.018896427,-1.6261644,7.550727,10.325278
42,3,2100,10.509464,-9.408139,,-0.051186576,-1.2299023,6.6004157,7.868697
43,3,2150,10.5655,-9.409077,,-0.21356922,-1.5324316,6.50123,8.456057
44,3,2200,10.537056,-9.449924,,-0.051541176,-1.290503,6.8320994,7.519079
45,3,2250,10.509637,-9.415651,,-0.011889432,-1.4791427,6.1049004,8.150033
46,3,2300,10.528469,-9.276805,,-0.0085377665,-1.4942002,7.0932145,8.932035
47,3,2350,10.444642,-9.326652,,0.25584197,-1.316875,6.140354,8.388369
48,3,2400,10.505756,-9.326095,,0.005815151,-1.4165955,7.186294,8.150155
49,3,2450,10.508759,-9.272767,,-0.060903754,-1.2804389,7.9284363,8.114149
50,3,2500,10.498673,-9.443187,,-0.09407749,-1.3093405,6.365913,7.574892
51,3,2550,10.428821,-9.387079,,-0.05025768,-1.1697588,6.363708,7.457165
52,3,2600,10.51125,-9.372738,,-0.03417905,-1.4753418,6.5718355,8.22837
53,3,2650,10.42601,-9.442023,,-0.13173147,-1.0205173,6.6610236,6.6178546
54,3,2700,10.443795,-9.36433,,-0.012412571,-1.5390458,5.7965765,8.234076
55,3,2750,10.402646,-9.365866,,0.23647375,-1.2113848,6.1920443,7.5353236
56,3,2800,10.440361,-9.439592,,0.08348162,-1.3374228,6.266942,7.076074
57,3,2850,10.508266,-9.404877,,0.10097272,-1.3253846,6.35991,8.067452
58,3,2900,10.495303,-9.318158,,0.33137295,-1.4879513,6.3039184,8.818915
59,3,2950,10.514238,-9.340902,,0.07443375,-1.3186903,7.4124804,7.910926
60,3,3000,10.492502,-9.379738,0,0.14184396,-1.4992447,6.1458178,8.302165
61,4,3050,9.982618,-8.611317,,-0.0066263676,-1.035274,3.9169984,6.164425
62,4,3100,9.925041,-8.622342,,0.11674815,-1.0128417,3.7328598,5.9478726
63,4,3150,9.883488,-8.719223,,-0.023421783,-0.8641639,3.900577,5.1133385
64,4,3200,9.935697,-8.57443,,0.047096133,-1.1892371,3.6463401,6.27504
65,4,3250,9.945859,-8.654288,,-0.07160701,-1.0594468,3.7933908,5.840704
66,4,3300,9.954871,-8.720605,,0.06428924,-0.9648018,3.9265485,5.455912
67,4,3350,9.927881,-8.807974,,-0.078007445,-0.8233962,3.7351284,5.002239
68,4,3400,9.921504,-8.765479,,-0.27511388,-0.8895321,3.728366,5.19435
69,4,3450,9.83342,-8.82516,,0.02925805,-0.85147333,3.6639805,4.4129386
70,4,3500,9.871782,-8.837447,,-0.13129064,-0.7647457,3.9673233,4.333621
71,4,3550,9.918203,-8.711819,,-0.110612236,-1.0246048,3.6247785,5.520878
72,4,3600,9.958702,-8.902932,,0.047667515,-0.9437866,3.3460653,4.9146843
73,4,3650,9.763462,-8.789047,,-0.082047924,-0.73910904,3.415997,4.4311943
74,4,3700,9.864678,-8.751008,,0.024470959,-0.7650924,4.1388764,4.653188
75,4,3750,9.869029,-8.695471,,0.2662176,-0.92843485,3.700254,5.3001485
76,4,3800,9.737055,-8.693864,,-0.016692087,-0.6140642,3.1607997,5.0350547
77,4,3850,9.791644,-8.785803,,0.12758256,-0.89984417,3.5081015,4.5121174
78,4,3900,9.871975,-8.827723,,-0.14248927,-0.8172164,3.8380818,4.489722
79,4,3950,9.868898,-8.667048,,0.17293313,-0.9635949,3.704403,5.446184
80,4,4000,9.56447,-8.661272,0,-0.06635286,-0.40229702,3.136843,4.2783804
81,5,4050,9.243818,-7.6482263,,0.08376906,-0.5665674,2.1599243,3.91026
82,5,4100,9.143995,-7.618989,,0.0075610746,-0.64610624,2.1774158,3.7159784
83,5,4150,9.178408,-7.737496,,0.056143675,-0.66630983,1.7050456,3.7987607
84,5,4200,9.2923155,-7.630203,,-0.072021805,-0.7592044,2.222246,3.9985197
85,5,4250,9.234885,-7.667956,,-0.022147115,-0.8531699,1.8822615,3.9657614
86,5,4300,9.229626,-7.779052,,0.13274713,-0.65655804,2.1505353,3.5445805
87,5,4350,9.15095,-7.744585,,-0.021959642,-0.7097316,1.8707855,3.6069486
88,5,4400,9.122845,-7.854202,,-0.032071233,-0.5999656,1.6201934,3.4278486
89,5,4450,9.094655,-7.713805,,0.030647077,-0.6324086,1.6866565,3.6674144
90,5,4500,9.183378,-7.8175282,,0.18141259,-0.5972314,1.9417105,3.4750373
91,5,4550,9.123471,-7.877138,,-0.14067452,-0.61055374,1.7409046,3.291961
92,5,4600,9.223636,-7.6765866,,-0.11095879,-0.7349243,1.9073906,3.9237263
93,5,4650,9.160964,-7.8875294,,-0.05996876,-0.5431652,1.8322084,3.3170664
94,5,4700,9.2597685,-7.9511137,,0.029951977,-0.72033167,2.0256417,3.2513256
95,5,4750,9.13283,-7.821464,,-0.100073695,-0.5971718,1.9258776,3.3464499
96,5,4800,9.127655,-7.8794107,,-0.0701364,-0.47896767,1.9444969,3.1851077
97,5,4850,9.222809,-8.157822,,-0.039076924,-0.656456,1.7338648,2.7893708
98,5,4900,9.238051,-7.5795813,,0.100324266,-0.84424496,1.8374648,4.205674
99,5,4950,9.153568,-7.9857755,,-0.022559974,-0.4705186,1.9719715,2.9464483
100,5,5000,9.173552,-8.02725,0,-0.008573958,-0.53784657,2.084814,2.7915907
101,6,5050,8.473619,-6.040515,,0.05675738,-0.65686417,1.1036496,2.7250652
102,6,5100,8.355736,-6.582674,,0.07994469,-0.47390223,0.9605975,2.1610935
103,6,5150,8.314323,-6.531743,,-0.025899582,-0.5197592,1.0546429,2.1082866
104,6,5200,8.192934,-6.210528,,0.07870756,-0.46495008,0.9527329,2.3924274
105,6,5250,8.122492,-6.697712,,-0.06403152,-0.3200493,1.0149231,1.7459929
106,6,5300,8.265668,-6.280574,,0.004035478,-0.46456957,0.8653097,2.440895
107,6,5350,8.274328,-6.676647,,0.061050266,-0.45875216,0.8518163,2.0266447
108,6,5400,8.2902975,-6.632707,,-0.04555065,-0.3796811,1.1028862,1.9620543
109,6,5450,8.045324,-6.551418,,0.049190477,-0.4181776,0.77694035,1.9548261
110,6,5500,8.1701145,-6.3329973,,0.009629846,-0.4818821,0.99027,2.21431
111,6,5550,8.25445,-6.737624,,-0.012157168,-0.39737463,0.7824861,1.9830825
112,6,5600,8.167332,-6.740344,,0.005713044,-0.40378237,0.86511075,1.8273282
113,6,5650,8.215838,-6.8400373,,0.048750985,-0.31016684,0.89760923,1.761158
114,6,5700,8.190414,-6.497541,,0.014979273,-0.50109434,0.95832527,2.0673194
115,6,5750,8.110627,-6.5206075,,-0.08018774,-0.4220233,0.71381384,2.0976171
116,6,5800,8.147123,-6.6553397,,-0.17125538,-0.43134165,0.83521307,1.913147
117,6,5850,8.103763,-6.947109,,-0.08922039,-0.29876423,0.7018058,1.5975876
118,6,5900,8.112754,-6.5649905,,0.023405118,-0.36363554,1.0075316,1.8948674
119,6,5950,8.226531,-6.420268,,-0.04417604,-0.4158945,1.0618948,2.1510751
120,6,6000,8.196343,-6.8482394,0,0.012425346,-0.38702154,0.9335834,1.6893232
121,7,6050,7.419545,-4.728552,,0.026875384,-0.29320002,0.56779855,1.4256619
122,7,6100,7.144469,-5.4355993,,0.090470426,-0.24891663,0.39907366,1.0336797
123,7,6150,7.1061916,-4.9458947,,-0.00038798177,-0.3295374,0.49659503,1.2030009
124,7,6200,7.109581,-5.289371,,-0.07123976,-0.24178839,0.4654652,1.0626764
125,7,6250,7.15438,-4.9128995,,0.058142908,-0.3813386,0.47753304,1.2381569
126,7,6300,7.000161,-5.28527,,0.032840982,-0.19102621,0.4026608,1.0492431
127,7,6350,7.0960083,-3.8264396,,0.058427557,-0.40705776,0.51652163,1.6679688
128,7,6400,7.1018233,-4.832063,,-0.024341894,-0.28932285,0.44241583,1.2912778
129,7,6450,7.0651193,-5.1271567,,0.04961603,-0.29971743,0.3894744,1.1489394
130,7,6500,7.1857505,-5.690308,,-0.051592536,-0.2192421,0.42728418,0.90705144
131,7,6550,7.001107,-5.5955114,,0.009919381,-0.22277212,0.40629148,0.8651788
132,7,6600,6.9725776,-4.495865,,0.033025105,-0.34400558,0.43459588,1.3787081
133,7,6650,6.997526,-5.4417653,,-0.0028303254,-0.20722342,0.3714208,0.9741392
134,7,6700,7.042232,-4.553614,,0.092999,-0.2982583,0.39137614,1.410435
135,7,6750,7.01797,-4.8197846,,-0.04984347,-0.31083727,0.39583695,1.2725624
136,7,6800,6.9154778,-3.9982457,,-0.07283512,-0.3580494,0.4818548,1.5480263
137,7,6850,6.8371477,-5.000941,,0.054316197,-0.33856678,0.3460009,1.1061718
138,7,6900,7.126934,-4.0975475,,0.049408272,-0.40518904,0.48024404,1.5853744
139,7,6950,6.953514,-4.6114655,,0.013268236,-0.33760643,0.47185194,1.3011386
140,7,7000,6.9505067,-4.068382,0,0.029269962,-0.3277645,0.54976755,1.5106565
141,8,7050,5.9538927,-1.1410117,,-0.0040440923,-0.21198177,0.24756879,0.9770733
142,8,7100,6.08562,-2.7238812,,-0.028191842,-0.21431255,0.12522632,0.76834416
143,8,7150,5.828791,-1.4025574,,0.010251089,-0.14440012,0.17268178,0.95149076
144,8,7200,5.6073956,-1.8552444,,0.051793844,-0.19891834,0.13658443,0.83716524
145,8,7250,5.659736,-1.834172,,0.020069787,-0.19749022,0.13207293,0.852422
146,8,7300,5.514084,-2.829569,,0.0047559342,-0.117705345,0.090610355,0.6714051
147,8,7350,5.440019,-0.60962105,,-0.01917073,-0.25260878,0.16729271,0.99470615
148,8,7400,5.3831673,-2.4887505,,0.011932918,-0.17510033,0.117021024,0.6923828
