,k,iteration,H,cost,converged,R1,R2,R3,R4
0,0,0,11.446402,1442.5612,,2.6515594,-5.2680454,22.062471,30.536402
1,1,50,11.876396,-11.866073,,3.1125531,-4.7586555,35.428642,27.878786
2,1,100,11.951956,-11.939911,,3.4949439,-4.920152,38.925606,29.279085
3,1,150,11.970084,-11.959063,,3.2482662,-4.511086,38.059505,26.92498
4,1,200,11.967079,-11.953846,,4.0465984,-4.934193,41.369038,29.90718
5,1,250,11.9669075,-11.955875,,3.3435762,-4.7419996,37.1732,28.124496
6,1,300,11.973168,-11.960866,,3.683819,-4.857454,39.827614,28.932291
7,1,350,11.975849,-11.962926,,3.8606818,-4.784896,41.462154,28.769358
8,1,400,11.973826,-11.961415,,3.6335068,-4.8388844,40.257008,28.72352
9,1,450,11.974811,-11.962303,,3.4242873,-4.857287,40.249374,29.08731
10,1,500,11.979038,-11.965524,,3.9924998,-4.945488,42.453014,29.32951
11,1,550,11.972811,-11.962046,,3.123977,-4.9586716,35.497528,29.30313
12,1,600,11.981652,-11.968979,,3.9365497,-4.9100018,40.426125,29.33971
13,1,650,11.976022,-11.963513,,3.5193088,-4.7534714,40.869102,28.222256
14,1,700,11.9777155,-11.963991,,4.1047935,-4.8969955,42.919296,29.359766
15,1,750,11.971432,-11.956762,,4.158954,-4.7875824,45.548428,28.618238
16,1,800,11.977994,-11.965618,,3.6276667,-4.817916,40.165913,28.731121
17,1,850,11.981062,-11.967576,,3.9975357,-5.072797,41.62943,30.370731
18,1,900,11.974297,-11.961318,,3.8355005,-4.86019,41.45578,28.96125
19,1,950,11.973836,-11.9619465,,3.5737703,-4.550152,40.0977,27.139204
20,1,1000,11.984637,-11.973113,0,3.6057591,-4.6767726,38.58927,27.944592
21,2,1050,11.968843,-11.897417,,3.4856255,-4.8072405,39.37091,28.476316
22,2,1100,11.981032,-11.907984,,3.5574555,-4.760975,40.149483,28.534758
23,2,1150,11.979338,-11.90795,,3.581494,-4.6489,39.741646,27.94542
24,2,1200,11.979297,-11.908682,,3.619605,-4.781584,38.958027,28.460009
25,2,1250,11.978258,-11.914635,,3.2414122,-4.608753,36.228867,27.220367
26,2,1300,11.97004,-11.901104,,3.476146,-4.810717,37.900917,28.722353
27,2,1350,11.976671,-11.905071,,3.5448647,-4.8078547,39.47265,28.450914
28,2,1400,11.96535,-11.896925,,3.454249,-4.7937226,37.628483,28.731842
29,2,1450,11.970406,-11.905774,,3.2399282,-4.7564754,36.065536,28.138027
30,2,1500,11.97656,-11.908808,,3.5797052,-4.694296,37.549564,28.363932
31,2,1550,11.972169,-11.907354,,3.2455652,-4.7398586,35.981586,28.378538
32,2,1600,11.970509,-11.900532,,3.6127057,-4.746688,38.666027,28.416441
33,2,1650,11.960321,-11.892179,,3.54955,-4.767078,37.655773,28.489876
34,2,1700,11.977526,-11.906964,,3.4148357,-4.8499694,38.612076,28.907087
35,2,1750,11.976616,-11.911139,,3.0843747,-4.8273296,36.187252,28.584146
36,2,1800,11.977098,-11.911144,,3.4059265,-4.7285004,36.829857,28.06107
37,2,1850,11.987882,-11.916491,,3.3151293,-4.651675,40.03328,27.564983
38,2,1900,11.979062,-11.912678,,3.4341612,-4.747844,36.61425,28.6414
39,2,1950,11.970371,-11.907145,,3.216474,-4.729774,35.1394,28.337942
40,2,2000,11.977024,-11.907693,0,3.6969233,-4.8386536,38.052647,28.764496
41,3,2050,11.943878,-11.714762,,2.5116851,-4.445636,30.442068,26.35933
42,3,2100,11.957505,-11.702225,,2.9989743,-4.6988463,32.405933,28.422468
43,3,2150,11.962725,-11.697911,,2.8554459,-4.5498457,34.905426,26.979973
44,3,2200,11.944852,-11.708213,,2.481325,-4.5747137,30.795616,27.235401
45,3,2250,11.951995,-11.708864,,2.8289292,-4.5231886,31.624794,27.340149
46,3,2300,11.928931,-11.698331,,2.643579,-4.51628,30.15365,26.936367
47,3,2350,11.943059,-11.700621,,2.7696693,-4.5780835,31.65547,27.181105
48,3,2400,11.951542,-11.714755,,2.7708428,-4.677865,30.48351,27.57893
49,3,2450,11.948684,-11.718311,,2.9456027,-4.561862,29.740067,27.336317
50,3,2500,11.925409,-11.712768,,2.5901244,-4.2774677,28.607418,25.608356
51,3,2550,11.956999,-11.705676,,2.8507724,-4.4992857,33.330135,26.659538
52,3,2600,11.956137,-11.698634,,2.648798,-4.754683,32.654686,28.52605
53,3,2650,11.937299,-11.699371,,2.6075418,-4.5777884,30.805166,27.432756
54,3,2700,11.946268,-11.702784,,2.7482848,-4.6638594,31.15197,27.945654
