,iteration,loss,H,KL
0,0,-9.653269,11.091789,
1,100,-9.853841,11.453371,
2,200,-9.839327,11.390763,
3,300,-9.81147,11.395796,
4,400,-9.849135,11.374227,
5,500,-9.837358,11.415274,
6,600,-9.850153,11.364042,
7,700,-9.823223,11.380634,
8,800,-9.833992,11.408293,
9,900,-9.846047,11.395403,
10,1000,-9.85132,11.399064,
11,1100,-9.831902,11.357951,
12,1200,-9.840185,11.4021,
13,1300,-9.831811,11.384372,
14,1400,-9.822048,11.315455,
15,1500,-9.83474,11.435375,
16,1600,-9.835183,11.323348,
17,1700,-9.82988,11.363059,
18,1800,-9.819974,11.330527,
19,1900,-9.809487,11.373266,
20,2000,-9.831799,11.413531,
21,2100,-9.832282,11.432936,
22,2200,-9.830127,11.36634,
23,2300,-9.818286,11.345509,
24,2400,-9.830326,11.4060955,
25,2500,-9.842528,11.353924,
26,2600,-9.831888,11.321188,
27,2700,-9.842646,11.3518095,
28,2800,-9.814894,11.353924,
29,2900,-9.8321905,11.381664,
30,3000,-9.829308,11.359364,
31,3100,-9.850147,11.341172,
32,3200,-9.81652,11.359427,
33,3300,-9.825329,11.389434,
34,3400,-9.832805,11.393459,
35,3500,-9.851782,11.428031,
36,3600,-9.830226,11.372443,
37,3700,-9.835406,11.370696,
38,3800,-9.818199,11.373438,
39,3900,-9.824852,11.373559,
40,4000,-9.818739,11.391034,
41,4100,-9.825913,11.417678,
42,4200,-9.838732,11.33641,
43,4300,-9.820827,11.359096,
44,4400,-9.795464,11.320068,
45,4500,-9.82879,11.417388,
46,4600,-9.833412,11.375331,
47,4700,-9.811288,11.350827,
48,4800,-9.828558,11.405424,
49,4900,-9.832065,11.405177,
50,5000,-9.811842,11.298902,
51,5100,-9.813441,11.394559,
52,5200,-9.835166,11.338654,
53,5300,-9.812345,11.372965,
54,5400,-9.819115,11.433178,
55,5500,-9.839367,11.407955,
56,5600,-9.825937,11.385744,
57,5700,-9.832241,11.386319,
58,5800,-9.83436,11.33334,
59,5900,-9.844732,11.410173,
60,6000,-9.852779,11.362475,
61,6100,-9.81608,11.318991,
62,6200,-9.827745,11.3330555,
63,6300,-9.842,11.420832,
64,6400,-9.8292055,11.348445,
65,6500,-9.819891,11.313271,
66,6600,-9.848955,11.373604,
67,6700,-9.824273,11.357444,
68,6800,-9.856283,11.293379,
69,6900,-9.858305,11.356644,
70,7000,-9.859798,11.417445,
71,7100,-9.85372,11.368382,
72,7200,-9.842906,11.325566,
73,7300,-9.870184,11.391928,
74,7400,-9.842023,11.4475155,
75,7500,-9.817319,11.338653,
76,7600,-9.83116,11.352254,
77,7700,-9.829841,11.406777,
78,7800,-9.847939,11.340807,
79,7900,-9.824142,11.371755,
80,8000,-9.831071,11.372488,
81,8100,-9.860338,11.391644,
82,8200,-9.831509,11.33082,
83,8300,-9.830614,11.383279,
84,8400,-9.823826,11.3228655,
85,8500,-9.818905,11.302891,
86,8600,-9.812581,11.335408,
87,8700,-9.809631,11.312101,
88,8800,-9.824989,11.361772,
89,8900,-9.853519,11.443849,
90,9000,-9.867736,11.389796,
91,9100,-9.834131,11.340267,
92,9200,-9.845257,11.3805275,
93,9300,-9.832141,11.373738,
94,9400,-9.848809,11.313832,
95,9500,-9.834491,11.307568,
96,9600,-9.822744,11.326791,
97,9700,-9.859441,11.325315,
98,9800,-9.83642,11.412244,
99,9900,-9.816086,11.380094,
100,10000,-9.834446,11.3623705,
