,iteration,loss,H,KL
0,0,-9.567978,11.06312,
1,100,-9.846029,11.343709,
2,200,-9.868452,11.313787,
3,300,-9.83689,11.35944,
4,400,-9.863885,11.445125,
5,500,-9.881326,11.356721,
6,600,-9.8708935,11.398207,
7,700,-9.881367,11.423224,
8,800,-9.842782,11.395209,
9,900,-9.842005,11.343366,
10,1000,-9.864031,11.397166,
11,1100,-9.862736,11.410754,
12,1200,-9.868414,11.37442,
13,1300,-9.868605,11.395084,
14,1400,-9.873328,11.321056,
15,1500,-9.883967,11.397578,
16,1600,-9.885071,11.428141,
17,1700,-9.864195,11.369753,
18,1800,-9.894368,11.433264,
19,1900,-9.879745,11.369604,
20,2000,-9.857309,11.380047,
21,2100,-9.891623,11.437569,
22,2200,-9.873209,11.463439,
23,2300,-9.85872,11.384334,
24,2400,-9.862548,11.418254,
25,2500,-9.868847,11.447484,
26,2600,-9.896935,11.424919,
27,2700,-9.87758,11.473776,
28,2800,-9.879792,11.418317,
29,2900,-9.910799,11.385293,
30,3000,-9.882108,11.439526,
31,3100,-9.877895,11.427647,
32,3200,-9.866332,11.404777,
33,3300,-9.866202,11.439963,
34,3400,-9.87228,11.425625,
35,3500,-9.904159,11.449643,
36,3600,-9.874421,11.3726425,
37,3700,-9.8788805,11.415033,
38,3800,-9.882458,11.416126,
39,3900,-9.860629,11.446068,
40,4000,-9.8815365,11.436071,
41,4100,-9.887759,11.389762,
42,4200,-9.882761,11.460205,
43,4300,-9.870697,11.430582,
44,4400,-9.880539,11.4383335,
45,4500,-9.886538,11.422608,
46,4600,-9.880043,11.525016,
47,4700,-9.865948,11.47277,
48,4800,-9.867456,11.391113,
49,4900,-9.876929,11.417932,
50,5000,-9.88269,11.419687,
51,5100,-9.856098,11.400035,
52,5200,-9.880049,11.451783,
53,5300,-9.869898,11.426297,
54,5400,-9.887198,11.438766,
55,5500,-9.8854065,11.473291,
56,5600,-9.878006,11.399738,
57,5700,-9.868635,11.500658,
58,5800,-9.8833275,11.435234,
59,5900,-9.87263,11.406508,
60,6000,-9.890591,11.458867,
61,6100,-9.87643,11.437931,
62,6200,-9.88348,11.403201,
63,6300,-9.846732,11.4061775,
64,6400,-9.871516,11.392588,
65,6500,-9.861325,11.395633,
66,6600,-9.885971,11.406326,
67,6700,-9.8818865,11.481063,
68,6800,-9.874986,11.418864,
69,6900,-9.889593,11.398212,
70,7000,-9.893052,11.460064,
71,7100,-9.870285,11.493301,
72,7200,-9.881603,11.452772,
73,7300,-9.859492,11.46271,
74,7400,-9.890225,11.4744215,
75,7500,-9.867595,11.487666,
76,7600,-9.872059,11.445673,
77,7700,-9.858751,11.41455,
78,7800,-9.897709,11.395983,
79,7900,-9.865653,11.419366,
80,8000,-9.88288,11.337429,
81,8100,-9.887393,11.468957,
82,8200,-9.896229,11.3860855,
83,8300,-9.858844,11.382108,
84,8400,-9.899773,11.387768,
85,8500,-9.889013,11.427155,
86,8600,-9.884944,11.470834,
87,8700,-9.875456,11.390514,
88,8800,-9.87066,11.464037,
89,8900,-9.888356,11.422512,
90,9000,-9.8804,11.405249,
91,9100,-9.892523,11.4126,
92,9200,-9.877212,11.406666,
93,9300,-9.84785,11.427271,
94,9400,-9.87589,11.319351,
95,9500,-9.879567,11.381378,
96,9600,-9.886295,11.379184,
97,9700,-9.872467,11.420172,
98,9800,-9.879427,11.407119,
99,9900,-9.858001,11.319027,
100,10000,-9.878509,11.4537735,
