,iteration,loss,H,KL
0,0,-9.612671,11.281064,
1,100,-9.893222,11.398436,
2,200,-9.903417,11.509867,
3,300,-9.897572,11.453859,
4,400,-9.900078,11.471189,
5,500,-9.912383,11.412091,
6,600,-9.924199,11.43521,
7,700,-9.898939,11.462579,
8,800,-9.917664,11.491588,
9,900,-9.903077,11.424617,
10,1000,-9.925906,11.449713,
11,1100,-9.916275,11.446081,
12,1200,-9.890775,11.452511,
13,1300,-9.915663,11.530132,
14,1400,-9.915543,11.449681,
15,1500,-9.903476,11.484724,
16,1600,-9.9001,11.497608,
17,1700,-9.912362,11.458947,
18,1800,-9.902569,11.372708,
19,1900,-9.916688,11.464375,
20,2000,-9.904011,11.45219,
21,2100,-9.907923,11.473398,
22,2200,-9.892712,11.439715,
23,2300,-9.914921,11.482011,
24,2400,-9.913512,11.382532,
25,2500,-9.911746,11.332576,
26,2600,-9.91025,11.41983,
27,2700,-9.909139,11.512803,
28,2800,-9.896475,11.479235,
29,2900,-9.917517,11.441492,
30,3000,-9.912263,11.459283,
31,3100,-9.915085,11.435638,
32,3200,-9.904422,11.401137,
33,3300,-9.908024,11.35862,
34,3400,-9.924842,11.457075,
35,3500,-9.919394,11.450298,
36,3600,-9.912615,11.411712,
37,3700,-9.914302,11.471319,
38,3800,-9.912741,11.475862,
39,3900,-9.91935,11.458424,
40,4000,-9.903235,11.51331,
41,4100,-9.918572,11.497367,
42,4200,-9.913201,11.508811,
43,4300,-9.92022,11.477992,
44,4400,-9.9093,11.452853,
45,4500,-9.917605,11.46732,
46,4600,-9.916357,11.456031,
47,4700,-9.906608,11.488592,
48,4800,-9.907803,11.48623,
49,4900,-9.9137745,11.465695,
50,5000,-9.919623,11.486602,
51,5100,-9.912379,11.446528,
52,5200,-9.912949,11.496854,
53,5300,-9.916305,11.480629,
54,5400,-9.913604,11.492616,
55,5500,-9.916165,11.49766,
56,5600,-9.908677,11.475418,
57,5700,-9.90694,11.539483,
58,5800,-9.913041,11.474103,
59,5900,-9.920427,11.441586,
60,6000,-9.920414,11.452777,
61,6100,-9.911103,11.441871,
62,6200,-9.919207,11.469746,
63,6300,-9.91641,11.404142,
64,6400,-9.914417,11.517873,
65,6500,-9.931949,11.477879,
66,6600,-9.919888,11.49869,
67,6700,-9.915012,11.425015,
68,6800,-9.916877,11.427455,
69,6900,-9.916174,11.42666,
70,7000,-9.90821,11.537576,
71,7100,-9.917982,11.54051,
72,7200,-9.916437,11.465888,
73,7300,-9.919853,11.46036,
74,7400,-9.903635,11.450243,
75,7500,-9.909591,11.473788,
76,7600,-9.917936,11.487939,
77,7700,-9.921552,11.4840975,
78,7800,-9.924819,11.512557,
79,7900,-9.912712,11.388216,
80,8000,-9.909463,11.536528,
81,8100,-9.913837,11.442664,
82,8200,-9.911553,11.495004,
83,8300,-9.914344,11.443528,
84,8400,-9.910311,11.437107,
85,8500,-9.919812,11.457453,
86,8600,-9.910136,11.400174,
87,8700,-9.920567,11.489243,
88,8800,-9.910453,11.473332,
89,8900,-9.918565,11.433419,
90,9000,-9.920093,11.435471,
91,9100,-9.91553,11.418832,
92,9200,-9.9164715,11.512835,
93,9300,-9.925509,11.4671955,
94,9400,-9.917639,11.502998,
95,9500,-9.920656,11.50194,
96,9600,-9.912626,11.449939,
97,9700,-9.927283,11.473216,
98,9800,-9.911477,11.48511,
99,9900,-9.917257,11.488295,
100,10000,-9.912773,11.490664,
