,iteration,loss,H,KL
0,0,488.45786,16.636084,
1,100,-847.94696,2.2999146,
2,200,-903.3613,-3.4015384,
3,300,-912.8245,-4.079484,
4,400,-915.0643,-4.1028814,
5,500,-916.2555,-3.3685992,
6,600,-917.09326,-2.3675125,
7,700,-917.75977,-0.8453118,
8,800,-918.90826,0.61626,
9,900,-919.612,1.4710603,
10,1000,-921.3963,2.0353286,
11,1100,-926.591,1.6784713,
12,1200,-930.22437,2.1763575,
13,1300,-932.5032,2.7144985,
14,1400,-933.80975,2.700596,
15,1500,-933.815,2.972313,
16,1600,-933.3969,3.1690147,
17,1700,-932.73303,2.0526464,
18,1800,-932.85266,2.3025968,
19,1900,-932.5198,2.1207678,
20,2000,-932.6217,2.3379164,
21,2100,-932.9004,2.2898376,
22,2200,-933.1016,2.5287488,
23,2300,-933.46277,2.7714257,
24,2400,-933.79364,3.0080788,
25,2500,-934.8816,2.904409,
26,2600,-935.7935,3.4346268,
27,2700,-938.2252,2.704693,
28,2800,-936.7745,4.496083,
29,2900,-938.6606,2.987731,
30,3000,-937.50415,4.8333545,
31,3100,-939.15125,2.7782629,
32,3200,-938.91174,4.880978,
33,3300,-940.2338,2.7325752,
34,3400,-943.88995,5.2398086,
35,3500,-944.11426,5.403196,
36,3600,-944.17065,5.470176,
37,3700,-944.21063,5.510575,
38,3800,-944.2442,5.5367765,
39,3900,-944.2782,5.557371,
40,4000,-944.3015,5.5671654,
41,4100,-944.3088,5.58978,
42,4200,-944.3294,5.598929,
43,4300,-944.3564,5.6089244,
44,4400,-944.3621,5.615177,
45,4500,-944.3712,5.6212935,
46,4600,-944.37756,5.6284575,
47,4700,-944.3843,5.627814,
48,4800,-944.38947,5.6319494,
49,4900,-944.3925,5.6335835,
50,5000,-944.40314,5.643363,
51,5100,-944.40656,5.648477,
52,5200,-944.41504,5.651108,
53,5300,-944.4192,5.656452,
54,5400,-944.4301,5.6552076,
55,5500,-944.4295,5.6647124,
56,5600,-944.43274,5.6688495,
57,5700,-944.4351,5.6692543,
58,5800,-944.43585,5.665957,
59,5900,-944.43585,5.667056,
60,6000,-944.4382,5.6699452,
61,6100,-944.4391,5.671851,
62,6200,-944.4394,5.671977,
63,6300,-944.4406,5.67204,
64,6400,-944.44434,5.67514,
65,6500,-944.44543,5.6731653,
66,6600,-944.4453,5.6782665,
67,6700,-944.446,5.678341,
68,6800,-944.448,5.681521,
69,6900,-944.4474,5.6839795,
70,7000,-944.44977,5.6804924,
71,7100,-944.4517,5.6840143,
72,7200,-944.4479,5.6848793,
73,7300,-944.44824,5.6833773,
74,7400,-944.44855,5.6888,
75,7500,-944.451,5.688228,
76,7600,-944.4456,5.692562,
77,7700,-944.4472,5.6966662,
78,7800,-944.448,5.699838,
79,7900,-944.44617,5.6997266,
80,8000,-944.4467,5.7039113,
81,8100,-944.44684,5.707915,
82,8200,-944.4473,5.7114687,
83,8300,-944.44354,5.711345,
84,8400,-944.4444,5.7178373,
85,8500,-944.44403,5.723048,
86,8600,-944.4448,5.7278404,
87,8700,-944.45245,5.7269073,
88,8800,-944.4446,5.7236924,
89,8900,-944.44104,5.728407,
90,9000,-944.44507,5.729822,
91,9100,-944.4523,5.7301793,
92,9200,-944.453,5.7324834,
93,9300,-944.45593,5.729743,
94,9400,-944.4564,5.734237,
95,9500,-944.45996,5.73479,
96,9600,-944.4628,5.735409,
97,9700,-944.461,5.735167,
98,9800,-944.4648,5.734991,
99,9900,-944.4689,5.7376027,
100,10000,-944.4672,5.738305,
